i x result
1 -1.000000 -1.00000000000000000e+00
1 -0.990000 -9.89999999999999991e-01
1 -0.980000 -9.79999999999999982e-01
1 -0.970000 -9.69999999999999973e-01
1 -0.960000 -9.59999999999999964e-01
1 -0.950000 -9.49999999999999956e-01
1 -0.940000 -9.39999999999999947e-01
1 -0.930000 -9.30000000000000049e-01
1 -0.920000 -9.20000000000000040e-01
1 -0.910000 -9.10000000000000031e-01
1 -0.900000 -9.00000000000000022e-01
1 -0.890000 -8.90000000000000013e-01
1 -0.880000 -8.80000000000000004e-01
1 -0.870000 -8.69999999999999996e-01
1 -0.860000 -8.59999999999999987e-01
1 -0.850000 -8.49999999999999978e-01
1 -0.840000 -8.39999999999999969e-01
1 -0.830000 -8.29999999999999960e-01
1 -0.820000 -8.19999999999999951e-01
1 -0.810000 -8.10000000000000053e-01
1 -0.800000 -8.00000000000000044e-01
1 -0.790000 -7.90000000000000036e-01
1 -0.780000 -7.80000000000000027e-01
1 -0.770000 -7.70000000000000018e-01
1 -0.760000 -7.60000000000000009e-01
1 -0.750000 -7.50000000000000000e-01
1 -0.740000 -7.39999999999999991e-01
1 -0.730000 -7.29999999999999982e-01
1 -0.720000 -7.19999999999999973e-01
1 -0.710000 -7.09999999999999964e-01
1 -0.700000 -6.99999999999999956e-01
1 -0.690000 -6.89999999999999947e-01
1 -0.680000 -6.80000000000000049e-01
1 -0.670000 -6.70000000000000040e-01
1 -0.660000 -6.60000000000000031e-01
1 -0.650000 -6.50000000000000022e-01
1 -0.640000 -6.40000000000000013e-01
1 -0.630000 -6.30000000000000004e-01
1 -0.620000 -6.19999999999999996e-01
1 -0.610000 -6.09999999999999987e-01
1 -0.600000 -5.99999999999999978e-01
1 -0.590000 -5.89999999999999969e-01
1 -0.580000 -5.79999999999999960e-01
1 -0.570000 -5.69999999999999951e-01
1 -0.560000 -5.60000000000000053e-01
1 -0.550000 -5.50000000000000044e-01
1 -0.540000 -5.40000000000000036e-01
1 -0.530000 -5.30000000000000027e-01
1 -0.520000 -5.20000000000000018e-01
1 -0.510000 -5.10000000000000009e-01
1 -0.500000 -5.00000000000000000e-01
1 -0.490000 -4.89999999999999991e-01
1 -0.480000 -4.79999999999999982e-01
1 -0.470000 -4.69999999999999973e-01
1 -0.460000 -4.60000000000000020e-01
1 -0.450000 -4.50000000000000011e-01
1 -0.440000 -4.40000000000000002e-01
1 -0.430000 -4.29999999999999993e-01
1 -0.420000 -4.19999999999999984e-01
1 -0.410000 -4.09999999999999976e-01
1 -0.400000 -4.00000000000000022e-01
1 -0.390000 -3.90000000000000013e-01
1 -0.380000 -3.80000000000000004e-01
1 -0.370000 -3.69999999999999996e-01
1 -0.360000 -3.59999999999999987e-01
1 -0.350000 -3.49999999999999978e-01
1 -0.340000 -3.40000000000000024e-01
1 -0.330000 -3.30000000000000016e-01
1 -0.320000 -3.20000000000000007e-01
1 -0.310000 -3.09999999999999998e-01
1 -0.300000 -2.99999999999999989e-01
1 -0.290000 -2.89999999999999980e-01
1 -0.280000 -2.80000000000000027e-01
1 -0.270000 -2.70000000000000018e-01
1 -0.260000 -2.60000000000000009e-01
1 -0.250000 -2.50000000000000000e-01
1 -0.240000 -2.39999999999999991e-01
1 -0.230000 -2.30000000000000010e-01
1 -0.220000 -2.20000000000000001e-01
1 -0.210000 -2.09999999999999992e-01
1 -0.200000 -2.00000000000000011e-01
1 -0.190000 -1.90000000000000002e-01
1 -0.180000 -1.79999999999999993e-01
1 -0.170000 -1.70000000000000012e-01
1 -0.160000 -1.60000000000000003e-01
1 -0.150000 -1.49999999999999994e-01
1 -0.140000 -1.40000000000000013e-01
1 -0.130000 -1.30000000000000004e-01
1 -0.120000 -1.19999999999999996e-01
1 -0.110000 -1.10000000000000001e-01
1 -0.100000 -1.00000000000000006e-01
1 -0.090000 -8.99999999999999967e-02
1 -0.080000 -8.00000000000000017e-02
1 -0.070000 -7.00000000000000067e-02
1 -0.060000 -5.99999999999999978e-02
1 -0.050000 -5.00000000000000028e-02
1 -0.040000 -4.00000000000000008e-02
1 -0.030000 -2.99999999999999989e-02
1 -0.020000 -2.00000000000000004e-02
1 -0.010000 -1.00000000000000002e-02
1 0.000000 1.00000000000000000e+00
1 0.010000 9.04987573623657227e-01
1 0.020000 8.68529140949249268e-01
1 0.030000 8.41684043407440186e-01
1 0.040000 8.19803893566131592e-01
1 0.050000 8.01088273525238037e-01
1 0.060000 7.84614026546478271e-01
1 0.070000 7.69832909107208252e-01
1 0.080000 7.56387770175933838e-01
1 0.090000 7.44030654430389404e-01
1 0.100000 7.32581079006195068e-01
1 0.110000 7.21902906894683838e-01
1 0.120000 7.11890339851379395e-01
1 0.130000 7.02459454536437988e-01
1 0.140000 6.93542063236236572e-01
1 0.150000 6.85082197189331055e-01
1 0.160000 6.77032947540283203e-01
1 0.170000 6.69354796409606934e-01
1 0.180000 6.62013947963714600e-01
1 0.190000 6.54981315135955811e-01
1 0.200000 6.48231565952301025e-01
1 0.210000 6.41742467880249023e-01
1 0.220000 6.35494530200958252e-01
1 0.230000 6.29470527172088623e-01
1 0.240000 6.23654901981353760e-01
1 0.250000 6.18034005165100098e-01
1 0.260000 6.12595260143280029e-01
1 0.270000 6.07327520847320557e-01
1 0.280000 6.02220594882965088e-01
1 0.290000 5.97265183925628662e-01
1 0.300000 5.92452824115753174e-01
1 0.310000 5.87775826454162598e-01
1 0.320000 5.83227097988128662e-01
1 0.330000 5.78800022602081299e-01
1 0.340000 5.74488520622253418e-01
1 0.350000 5.70287048816680908e-01
1 0.360000 5.66190361976623535e-01
