x,mean,std_deviation,significant_digits
-4.0,-7.024594819237264e-05,8.709541883847895e-20,14.906625967056478
-3.9,-0.00011219769187022594,8.661962846900166e-20,15.112367606098925
-3.8,-0.00017611921714141767,1.976068140686901e-19,14.950004830060566
-3.7,-0.00027180602139205347,2.49896253248091e-19,15.036499328847393
-3.6,-0.00041258021416358277,3.781130788782117e-19,15.037886697155933
-3.5,-0.0006161976553736629,7.9191302310524635e-19,14.891042556448179
-3.4,-0.000905850983453663,5.711389343698998e-19,15.200314993265458
-3.3,-0.0013112281183358043,1.1646975920164512e-18,15.051465076213377
-3.2,-0.0018695651620842858,1.805774440283455e-18,15.015077105176518
-3.1,-0.0026266102305497743,1.9199870531278834e-18,15.136097331316288
-3.0,-0.0036373920817730178,2.313190499060346e-18,15.196578717186739
-2.9,-0.004966666235471413,3.0233498097299473e-18,15.215576576859808
-2.8,-0.0066888936068791845,2.343482367555115e-18,15.455492597925513
-2.7,-0.008887594639467897,4.213628682598863e-18,15.324127976696968
-2.6,-0.011653917685242694,6.0342450241162045e-18,15.285849005242813
-2.5,-0.015084266089998577,9.736111361848182e-18,15.190138652137964
-2.4,-0.01927684615560171,1.0025441086192111e-17,15.283932492137813
-2.3,-0.024327029795919036,1.0292042894454821e-17,15.37358749950117
-2.2,-0.030321472961988605,1.5162713711972086e-17,15.300973359595272
-2.1,-0.03733099503888787,1.6493562521320162e-17,15.35475509491867
-2.0,-0.045402305912224966,1.2412670766236365e-17,15.56321267424284
-1.9,-0.0545487655446674,8.638853242474106e-18,15.800328830579721
-1.8,-0.06474047315407026,2.7052788744732946e-17,15.37896382798266
-1.7,-0.07589410444884384,2.2591401799415136e-17,15.526264860869178
-1.6,-0.08786303785563847,2.7755575615628914e-17,15.5004559763956
-1.5,-0.10042842301976707,2.3835883318942358e-17,15.6246253924182
-1.4,-0.1132919328388055,1.5202354861220293e-17,15.872288120383292
-1.3,-0.1260709876826906,1.962615573354719e-17,15.807779914607703
-1.2,-0.13829723086213505,4.344434768182728e-17,15.502880203615682
-1.1,-0.14941895382548914,2.6331251014325257e-17,15.753934198118793
-1.0,-0.15880800939172332,5.481286995992901e-17,15.461989860044595
-0.9,-0.16577151129027942,1.8619006149354548e-17,15.949553401457695
-0.8,-0.1695683085635519,2.5589376332604517e-17,15.8212849867827
-0.7,-0.16942986529488327,2.7755575615628914e-17,15.78563972707425
-0.6,-0.16458480076918525,1.7554167342883506e-17,15.954589770191001
-0.5,-0.15428599017485606,1.962615573354719e-17,15.895491251415477
-0.4,-0.13783883057264384,3.8758552044962204e-17,15.551004035730362
-0.3,-0.11462907645724077,2.5962963631595152e-17,15.644940528409164
-0.2,-0.08414857021789372,4.388541835720876e-18,15.954589770191001
-0.1,-0.04601724895456484,6.009258394948637e-18,15.88409977286822
0.0,0.0,0.0,15.954589770191001
0.1,0.053982751045435165,5.146021447227411e-18,15.954589770191001
0.2,0.1158514297821063,1.5823112613210483e-17,15.864609479040265
0.3,0.18537092354275927,4.1168171577819286e-17,15.653480034760747
0.4,0.2621611694273563,9.288792252416251e-17,15.45060911582824
0.5,0.345714009825144,7.130536482749599e-17,15.685594773135588
0.6,0.4354151992308147,5.688200336284365e-17,15.883928701399137
0.7,0.5305701347051168,1.2412670766236366e-16,15.630877563992529
0.8,0.6304316914364481,1.1102230246251565e-16,15.754227806953638
0.9,0.7342284887097206,9.614813431917819e-17,15.882890369997082
1.0,0.8411919906082768,1.0235750533041807e-16,15.914775436242115
1.1,0.9505810461745108,1.6837365821701478e-16,15.751715002742792
1.2,1.0617027691378653,4.271113254555058e-16,15.395461862580971
1.3,1.1739290123173094,1.5700924586837752e-16,15.873716608205028
1.4,1.2867080671611941,3.293453726225543e-16,15.591828457941375
1.5,1.3995715769802328,1.9860273225978183e-16,15.848009895117722
1.6,1.5121369621443612,4.3850295967943206e-16,15.537618600280581
1.7,1.6241058955511563,2.482534153247273e-16,15.815719110880226
1.8,1.73525952684593,2.9790409838967276e-16,15.765287959400874
1.9,1.8454512344553327,2.1642230995786356e-16,15.930800545452868
2.0,1.9545976940877747,3.7155169009665004e-16,15.721038140936997
2.1,2.062669004961113,7.627482662061554e-16,15.432048313509261
2.2,2.1696785270380112,5.15985034193911e-16,15.623758285479738
2.3,2.275672970204081,5.617333549722722e-16,15.607579638649835
2.4,2.3807231538443987,6.511626037759646e-16,15.56301944462588
2.5,2.484915733910001,3.1401849173675503e-16,15.898356442634242
2.6,2.5883460823147573,3.580361673049448e-16,15.85909544502316
2.7,2.6911124053605326,4.440892098500626e-16,15.7824616170981
2.8,2.79331110639312,5.347542221830668e-16,15.717965085901076
2.9,2.895033333764529,6.43546404885484e-16,15.653073700107603
3.0,2.9963626079182277,8.188600426433446e-16,15.563384689145336
3.1,3.0973733897694506,3.8459253727671276e-16,15.905992710077022
3.2,3.1981304348379154,5.704429186199679e-16,15.74868397910413
3.3,3.2986887718816638,3.580361673049448e-16,15.954589770191001
3.4,3.399094149016547,7.160723346098896e-16,15.67640629883171
3.5,3.4993838023446258,5.528866075183428e-16,15.801355507041999
3.6,3.5995874197858364,4.3284461991572713e-16,15.919920701547369
3.7,3.6997281939786086,5.063396036227355e-16,15.86372792186006
3.8,3.7998238807828573,1.191616393558691e-15,15.503626998480872
3.9,3.89988780230813,2.220446049250313e-16,15.954589770191001
4.0,3.999929754051807,8.484312441289355e-16,15.673435711038877
