x,mean,std_deviation,significant_digits
-4.0,-7.024591432127635e-05,2.587572366185964e-11,6.433728565181345
-3.9,-0.00011219764455745462,5.889819153166237e-11,6.279881779587788
-3.8,-0.00017611923176445997,1.0518478253966809e-10,6.223853868971067
-3.7,-0.0002718058793107048,1.5314810579785692e-10,6.249147216893204
-3.6,-0.0004125804116483778,2.342813159047871e-10,6.24577095014582
-3.5,-0.0006161974975839257,2.8241214972706987e-10,6.338836553609457
-3.4,-0.0009058505675056949,4.5007547071115296e-10,6.303771216380283
-3.3,-0.0013112281216308475,4.83649272421398e-10,6.433147716105561
-3.2,-0.0018695646082051097,3.9837180246293254e-10,6.671451887425014
-3.1,-0.002626610652077943,1.0471556580554425e-09,6.399384457513962
-3.0,-0.003637391875963658,8.108224789316696e-10,6.651864312074713
-2.9,-0.004966663662344217,1.891525090820147e-09,6.419252644465507
-2.8,-0.006688893982209265,1.3534251255293956e-09,6.693920077876138
-2.7,-0.008887592796236276,1.6104072766183489e-09,6.741848424030398
-2.6,-0.011653920356184243,3.4104722409696424e-09,6.533657526754984
-2.5,-0.01508426433429122,2.801717995943748e-09,6.731099714625741
-2.4,-0.019276840146631002,4.707556946612936e-09,6.612240263674654
-2.3,-0.02432702761143446,2.855380944303403e-09,6.9304249911867615
-2.2,-0.03032146506011486,7.778634510122648e-09,6.590846815486848
-2.1,-0.03733099922537804,1.3043836802252827e-08,6.456664258185755
-2.0,-0.045402306504547595,8.185048603534636e-09,6.744056653587466
-1.9,-0.05454876124858856,1.022929714452176e-08,6.726939098270939
-1.8,-0.06474047489464282,1.3426558145091011e-08,6.683211183839253
-1.7,-0.0758940927684307,1.0822593455265424e-08,6.8458766290935795
-1.6,-0.08786303363740444,1.1750914376666771e-08,6.8737345322451135
-1.5,-0.10042841657996178,1.221986075256521e-08,6.914790358302211
-1.4,-0.11329193077981473,3.7066170465447757e-09,7.224719895935547
-1.3,-0.126070985943079,1.8416653714043312e-08,6.8354044270702765
-1.2,-0.13829722627997398,9.275898037842461e-09,7.173457503731979
-1.1,-0.14941894710063935,1.4600096599955426e-08,7.0100499425170675
-1.0,-0.15880800560116767,1.355514332552273e-08,7.068768277712427
-0.9,-0.16577150523662568,8.688795409866124e-09,7.224719895935547
-0.8,-0.16956830844283105,1.1025852402261452e-08,7.186932513319127
-0.7,-0.16942986473441124,1.32234687725446e-08,7.107644570151335
-0.6,-0.16458480209112167,9.30577218293905e-09,7.224719895935547
-0.5,-0.1542859874665737,7.107400904722107e-09,7.224719895935547
-0.4,-0.13783882781863213,8.5275792645362e-09,7.208545806315087
-0.3,-0.1146290797740221,5.411296727632713e-09,7.224719895935547
-0.2,-0.08414857089519501,5.268356063861754e-09,7.203371625461092
-0.1,-0.04601724930107594,2.9095447346220367e-09,7.199095616073482
0.0,0.0,0.0,7.224719895935547
0.1,0.053982751443982124,1.862645149230957e-09,7.224719895935547
0.2,0.11585143133997917,2.2351741790771488e-09,7.224719895935547
0.3,0.18537093326449394,6.452392069879462e-09,7.224719895935547
0.4,0.2621611773967743,1.4600096599955428e-08,7.224719895935547
0.5,0.34571401327848433,1.70551585290724e-08,7.224719895935547
0.6,0.4354152321815491,1.5196262340524152e-08,7.224719895935547
0.7,0.5305701285600662,2.8429603618888428e-08,7.224719895935547
0.8,0.6304316997528077,4.042583693936627e-08,7.192979022586405
0.9,0.7342284709215164,3.41103170581448e-08,7.224719895935547
1.0,0.8411919891834259,4.655271575395258e-08,7.224719895935547
1.1,0.9505810499191284,3.4755181639464503e-08,7.224719895935547
1.2,1.0617028534412385,8.820681921809162e-08,7.080500823087623
1.3,1.1739289581775665,6.82206341162896e-08,7.224719895935547
1.4,1.286708015203476,8.65807476421234e-08,7.1720586745751955
1.5,1.3995715796947479,7.79431869424702e-08,7.224719895935547
1.6,1.5121369779109954,8.65807476421234e-08,7.224719895935547
1.7,1.6241059482097626,1.0167790716428745e-07,7.203387758381015
1.8,1.7352595031261444,9.13721902177089e-08,7.224719895935547
1.9,1.845451182126999,9.5924597617573e-08,7.224719895935547
2.0,1.9545976638793945,1.1557769435444663e-07,7.224719895935547
2.1,2.0626689314842226,1.1861174548943282e-07,7.224719895935547
2.2,2.169678521156311,1.3274584681582504e-07,7.213374447377339
2.3,2.2756729125976562,1.5078914929239175e-07,7.178739749064623
2.4,2.380723237991333,0.0,7.224719895935547
2.5,2.4849158048629763,1.7026492186886906e-07,7.164186494898444
2.6,2.588346004486084,1.6858739404357614e-07,7.186197233862373
2.7,2.691112458705902,1.0323827311807139e-07,7.224719895935547
2.8,2.793311095237732,1.6689300537109377e-07,7.22368117101445
2.9,2.8950334548950196,1.9073486328125e-07,7.181223504398389
3.0,2.996362578868866,1.91849195235146e-07,7.193634382823934
3.1,3.097373330593109,2.033558143285749e-07,7.182736960391106
3.2,3.1981304407119753,1.3274584681582504e-07,7.224719895935547
3.3,3.2986887454986573,1.9073486328125e-07,7.224719895935547
3.4,3.399094307422638,2.416746012295877e-07,7.148132203526794
3.5,3.4993837594985964,2.1457672119140626e-07,7.212408967114916
3.6,3.599587416648865,2.707914517307412e-07,7.123617774408234
3.7,3.6997281551361083,2.958696757791246e-07,7.097069358780245
3.8,3.7998238682746885,2.1948757934000453e-07,7.224719895935547
3.9,3.8998878717422487,2.6226043701171877e-07,7.172319339967231
4.0,3.9999297618865968,2.1851423716334536e-07,7.224719895935547
