x,mean,std_deviation,significant_digits
-4.0,-7.024594819227126e-05,0.0,15.954589770191001
-3.9,-0.00011219769187020834,8.571370772892337e-21,15.954589770191001
-3.8,-0.0001761192171414572,4.5355430920001225e-20,15.589177448819212
-3.7,-0.0002718060213921236,2.9692099338320884e-20,15.954589770191001
-3.6,-0.000412580214163616,9.772866314664846e-20,15.625486438968716
-3.5,-0.0006161976553737403,0.0,15.954589770191001
-3.4,-0.0009058509834535822,4.84869951806108e-20,15.954589770191001
-3.3,-0.0013112281183358496,2.0571289854941607e-19,15.804416730239605
-3.2,-0.0018695651620843634,1.679638783183304e-19,15.954589770191001
-3.1,-0.0026266102305497474,2.168404344971009e-19,15.954589770191001
-3.0,-0.0036373920817729943,0.0,15.954589770191001
-2.9,-0.00496666623547148,1.4513737894400392e-18,15.53428570015587
-2.8,-0.006688893606879164,8.228515941976643e-19,15.910032773266078
-2.7,-0.008887594639467885,1.9778890766513104e-18,15.652582306364621
-2.6,-0.011653917685242743,1.2266347333466993e-18,15.954589770191001
-2.5,-0.015084266089998577,0.0,15.954589770191001
-2.4,-0.019276846155601702,2.052552497098936e-18,15.954589770191001
-2.3,-0.02432702979591907,5.067649563869679e-17,14.681282511978589
-2.2,-0.030321472961988578,5.355212468067087e-17,14.752973588563954
-2.1,-0.037330995038887836,4.654751537338637e-18,15.904173061940718
-2.0,-0.04540230591222495,3.973993651728112e-17,15.057850741546952
-1.9,-0.05454876554466735,4.2378410460293307e-17,15.109640263760523
-1.8,-0.06474047315407028,4.8174117355553276e-17,15.128362102835622
-1.7,-0.07589410444884384,5.02291571415177e-17,15.1792521500097
-1.6,-0.08786303785563847,8.777083671441753e-18,15.954589770191001
-1.5,-0.1004284230197671,2.7755575615628914e-17,15.5585064047433
-1.4,-0.11329193283880552,2.5018537765542006e-17,15.655937062917667
-1.3,-0.1260709876826906,1.962615573354719e-17,15.807779914607703
-1.2,-0.13829723086213508,2.5589376332604517e-17,15.732753782940803
-1.1,-0.14941895382548914,3.5652682413747996e-17,15.622313480731503
-1.0,-0.1588080093917233,5.551115123125783e-17,15.456492167893863
-0.9,-0.16577151129027942,1.962615573354719e-17,15.926674656177358
-0.8,-0.1695683085635519,4.6443961262081255e-17,15.562415433968738
-0.7,-0.16942986529488327,4.518280359883027e-17,15.574016790105846
-0.6,-0.16458480076918525,2.7052788744732946e-17,15.78417768497037
-0.5,-0.15428599017485606,1.962615573354719e-17,15.895491251415477
-0.4,-0.13783883057264384,2.7755575615628914e-17,15.69602134141162
-0.3,-0.11462907645724077,2.7406434979964504e-17,15.621442247071052
-0.2,-0.08414857021789371,1.80944215311192e-17,15.667502037699837
-0.1,-0.04601724895456484,4.654751537338637e-18,15.954589770191001
0.0,0.0,0.0,15.954589770191001
0.1,0.053982751045435165,4.9065389333867974e-18,15.954589770191001
0.2,0.11585142978210627,1.3526394372366473e-17,15.93271935254926
0.3,0.18537092354275927,3.8758552044962204e-17,15.679674069490591
0.4,0.2621611694273563,8.777083671441753e-17,15.47521812716333
0.5,0.345714009825144,7.65168414856311e-17,15.654959944766125
0.6,0.4354151992308147,5.2662502028650513e-17,15.917402096214444
0.7,0.5305701347051169,1.9547493470172272e-16,15.433651723579421
0.8,0.6304316914364481,9.930136612989092e-17,15.802682813457666
0.9,0.7342284887097207,1.137640067256873e-16,15.809826352157963
1.0,0.8411919906082768,5.551115123125783e-17,15.954589770191001
1.1,0.9505810461745107,3.060673659425244e-16,15.492172124611193
1.2,1.0617027691378653,4.440892098500626e-16,15.378532728950487
1.3,1.1739290123173096,1.8577584504832502e-16,15.800652590365909
1.4,1.2867080671611941,3.293453726225543e-16,15.591828457941375
1.5,1.3995715769802328,1.5700924586837752e-16,15.950069886445684
1.6,1.5121369621443612,4.3850295967943206e-16,15.537618600280581
1.7,1.6241058955511563,1.9229626863835638e-16,15.926643485688404
1.8,1.7352595268459297,1.8577584504832502e-16,15.954589770191001
1.9,1.8454512344553327,1.1102230246251565e-16,15.954589770191001
2.0,1.9545976940877747,3.1791949213824894e-16,15.78874022608023
2.1,2.0626690049611125,3.293453726225543e-16,15.79677797675122
2.2,2.1696785270380112,3.8459253727671276e-16,15.751394538031391
2.3,2.2756729702040817,9.368072144568356e-16,15.38545962448733
2.4,2.3807231538443987,5.617333549722722e-16,15.627178683255721
2.5,2.484915733910001,3.1401849173675503e-16,15.898356442634242
2.6,2.5883460823147573,2.6272671962866383e-16,15.954589770191001
2.7,2.6911124053605326,4.094300213216723e-16,15.817752154240953
2.8,2.79331110639312,4.3284461991572713e-16,15.809787284374138
2.9,2.895033333764529,7.021666937153402e-16,15.615213343138544
3.0,2.9963626079182277,7.431033801933001e-16,15.605545131995354
3.1,3.0973733897694506,3.580361673049448e-16,15.937066663451445
3.2,3.1981304348379154,4.3284461991572713e-16,15.86856414856666
3.3,3.2986887718816638,2.9790409838967276e-16,15.954589770191001
3.4,3.399094149016547,6.807758675344952e-16,15.69835904168125
3.5,3.4993838023446258,5.617333549722722e-16,15.794461364799183
3.6,3.5995874197858364,2.6272671962866383e-16,15.954589770191001
3.7,3.6997281939786077,3.9720546451956367e-16,15.954589770191001
3.8,3.7998238807828573,1.0648885158809838e-15,15.552459324351691
3.9,3.89988780230813,2.220446049250313e-16,15.954589770191001
4.0,3.999929754051807,6.807758675344952e-16,15.769048212131246
