x,mean,std_dev,significant_digits,true_value,abs_error,ulp_error
-4.0,-7.024594819227126e-05,0.0,inf,-7.024594819227126e-05,0.0,0.0
-3.9,-0.00011219769187020831,1.390459947817277e-20,15.906825439177497,-0.00011219769187020834,2.710505431213761e-20,2.0
-3.8,-0.0001761192171414572,4.65336902734149e-20,15.578039251463636,-0.00017611921714145716,5.421010862427522e-20,2.0
-3.7,-0.0002718060213921236,3.0463451149079154e-20,15.950479971325263,-0.0002718060213921236,0.0,0.0
-3.6,-0.000412580214163616,4.8166945510181886e-20,15.932759290406727,-0.0004125802141636159,1.0842021724855044e-19,2.0
-3.5,-0.0006161976553737403,0.0,inf,-0.0006161976553737403,0.0,0.0
-3.4,-0.000905850983453582,1.1123679582538217e-19,15.91080828963919,-0.0009058509834535822,2.168404344971009e-19,2.0
-3.3,-0.0013112281183358496,2.1105698065639037e-19,15.79327853288403,-0.0013112281183358498,2.168404344971009e-19,1.0
-3.2,-0.0018695651620843638,2.2247359165076434e-19,15.924462140525613,-0.0018695651620843634,4.336808689942018e-19,2.0
-3.1,-0.0026266102305497474,2.2247359165076434e-19,16.072117165302927,-0.0026266102305497474,0.0,0.0
-3.0,-0.0036373920817729935,0.0,inf,-0.0036373920817729943,8.673617379884035e-19,2.0
-2.9,-0.00496666623547148,1.4890780887492768e-18,15.523147502800295,-0.004966666235471478,1.734723475976807e-18,2.0
-2.8,-0.006688893606879164,8.442279226255615e-19,15.898894575910502,-0.0066888936068791646,8.673617379884035e-19,1.0
-2.7,-0.008887594639467885,2.0292713754699384e-18,15.641444109009045,-0.008887594639467884,1.734723475976807e-18,1.0
-2.6,-0.011653917685242743,1.2585006823294588e-18,15.966618490877455,-0.011653917685242743,0.0,0.0
-2.5,-0.015084266089998574,1.7797887332061147e-18,15.928155731677187,-0.015084266089998577,3.469446951953614e-18,2.0
-2.4,-0.019276846155601702,5.09653932249609e-18,15.577760601996161,-0.019276846155601702,0.0,0.0
-2.3,-0.02432702979591907,5.0289662070670013e-17,14.684610369745002,-0.024327029795919095,2.42861286636753e-17,7.0
-2.2,-0.030321472961988578,5.571620030251954e-17,14.735768803681292,-0.030321472961988553,2.42861286636753e-17,7.0
-2.1,-0.037330995038887836,7.119154932824459e-18,15.719641121472813,-0.037330995038887836,0.0,0.0
-2.0,-0.04540230591222495,4.077231457996872e-17,15.046712544191376,-0.04540230591222494,1.3877787807814457e-17,2.0
-1.9,-0.054548765544667366,4.148091559029432e-17,15.118936593001031,-0.05454876554466734,2.7755575615628914e-17,4.0
-1.8,-0.06474047315407028,4.942560153760737e-17,15.117223905480046,-0.06474047315407029,1.3877787807814457e-17,1.0
-1.7,-0.07589410444884383,5.0340027293178355e-17,15.178294593977979,-0.07589410444884379,4.163336342344337e-17,3.0
-1.6,-0.08786303785563847,9.005097841339324e-18,15.989317779040023,-0.08786303785563848,1.3877787807814457e-17,1.0
-1.5,-0.1004284230197671,2.8476619731297836e-17,15.547368207387724,-0.10042842301976707,2.7755575615628914e-17,2.0
-1.4,-0.1132919328388055,1.936619517318607e-17,15.767154681850021,-0.11329193283880551,1.3877787807814457e-17,1.0
-1.3,-0.1260709876826906,2.8476619731297836e-17,15.646126719420137,-0.1260709876826906,0.0,0.0
-1.2,-0.13829723086213508,2.6254146160612427e-17,15.721615585585226,-0.13829723086213508,0.0,0.0
-1.1,-0.14941895382548914,3.6578880350272527e-17,15.611175283375927,-0.14941895382548911,2.7755575615628914e-17,1.0
-1.0,-0.1588080093917233,5.695323946259567e-17,15.445353970538287,-0.15880800939172324,5.551115123125783e-17,2.0
-0.9,-0.16577151129027942,2.013601091727134e-17,15.915536458821782,-0.16577151129027945,2.7755575615628914e-17,1.0
