i x result
1 -4.000000 -7.02142715454101562e-05
2 -4.000000 -7.02142715454101562e-05
3 -4.000000 -7.02142715454101562e-05
4 -4.000000 -7.02142715454101562e-05
5 -4.000000 -7.02142715454101562e-05
6 -4.000000 -7.02142715454101562e-05
7 -4.000000 -7.02142715454101562e-05
8 -4.000000 -7.02142715454101562e-05
9 -4.000000 -7.02142715454101562e-05
10 -4.000000 -7.02142715454101562e-05
11 -4.000000 -7.02142715454101562e-05
12 -4.000000 -7.02142715454101562e-05
13 -4.000000 -7.02142715454101562e-05
14 -4.000000 -7.02142715454101562e-05
15 -4.000000 -7.02142715454101562e-05
16 -4.000000 -7.02142715454101562e-05
17 -4.000000 -7.02142715454101562e-05
18 -4.000000 -7.02142715454101562e-05
19 -4.000000 -7.02142715454101562e-05
20 -4.000000 -7.02142715454101562e-05
1 -3.900000 -1.12161047582048923e-04
2 -3.900000 -1.12161047582048923e-04
3 -3.900000 -1.12161047582048923e-04
4 -3.900000 -1.12161040306091309e-04
5 -3.900000 -1.12161040306091309e-04
6 -3.900000 -1.12161040306091309e-04
7 -3.900000 -1.12161047582048923e-04
8 -3.900000 -1.12161040306091309e-04
9 -3.900000 -1.12161047582048923e-04
10 -3.900000 -1.12161047582048923e-04
11 -3.900000 -1.12161040306091309e-04
12 -3.900000 -1.12161040306091309e-04
13 -3.900000 -1.12161040306091309e-04
14 -3.900000 -1.12161040306091309e-04
15 -3.900000 -1.12161040306091309e-04
16 -3.900000 -1.12161040306091309e-04
17 -3.900000 -1.12161040306091309e-04
18 -3.900000 -1.12161047582048923e-04
19 -3.900000 -1.12161047582048923e-04
20 -3.900000 -1.12161047582048923e-04
1 -3.800000 -1.76101908436976373e-04
2 -3.800000 -1.76101922988891602e-04
3 -3.800000 -1.76101922988891602e-04
4 -3.800000 -1.76101922988891602e-04
5 -3.800000 -1.76101922988891602e-04
6 -3.800000 -1.76101922988891602e-04
7 -3.800000 -1.76101922988891602e-04
8 -3.800000 -1.76101908436976373e-04
9 -3.800000 -1.76101922988891602e-04
10 -3.800000 -1.76101922988891602e-04
11 -3.800000 -1.76101922988891602e-04
12 -3.800000 -1.76101922988891602e-04
13 -3.800000 -1.76101922988891602e-04
14 -3.800000 -1.76101908436976373e-04
15 -3.800000 -1.76101922988891602e-04
16 -3.800000 -1.76101908436976373e-04
