# Verificarlo Analysis for parallel_3
# Source: parallel_3.c
# Type: DOUBLE, Precision: 53, Mode: mca
# Range: [10000:0.01:10001], Iterations: 20
i x result
1 10000.00 8.00000000000000000e+04
2 10000.00 8.00000000000000000e+04
3 10000.00 8.00000000000000000e+04
4 10000.00 8.00000000000000146e+04
5 10000.00 8.00000000000000000e+04
6 10000.00 8.00000000000000000e+04
7 10000.00 8.00000000000000000e+04
8 10000.00 8.00000000000000000e+04
9 10000.00 8.00000000000000000e+04
10 10000.00 8.00000000000000000e+04
11 10000.00 7.99999999999999854e+04
12 10000.00 8.00000000000000000e+04
13 10000.00 8.00000000000000000e+04
14 10000.00 8.00000000000000000e+04
15 10000.00 8.00000000000000146e+04
16 10000.00 8.00000000000000000e+04
17 10000.00 7.99999999999999854e+04
18 10000.00 8.00000000000000000e+04
19 10000.00 7.99999999999999854e+04
20 10000.00 7.99999999999999854e+04
1 10000.01 8.00000800000000017e+04
2 10000.01 8.00000800000000017e+04
3 10000.01 8.00000800000000017e+04
4 10000.01 8.00000800000000017e+04
5 10000.01 8.00000800000000017e+04
6 10000.01 8.00000799999999872e+04
7 10000.01 8.00000800000000017e+04
8 10000.01 8.00000800000000017e+04
9 10000.01 8.00000800000000017e+04
10 10000.01 8.00000800000000309e+04
11 10000.01 8.00000800000000017e+04
12 10000.01 8.00000800000000017e+04
13 10000.01 8.00000799999999872e+04
14 10000.01 8.00000800000000017e+04
15 10000.01 8.00000800000000163e+04
16 10000.01 8.00000800000000017e+04
17 10000.01 8.00000800000000017e+04
18 10000.01 8.00000800000000017e+04
19 10000.01 8.00000800000000017e+04
20 10000.01 8.00000800000000017e+04
1 10000.02 8.00001600000000035e+04
2 10000.02 8.00001600000000035e+04
3 10000.02 8.00001600000000180e+04
4 10000.02 8.00001600000000035e+04
5 10000.02 8.00001600000000180e+04
6 10000.02 8.00001600000000035e+04
7 10000.02 8.00001600000000180e+04
8 10000.02 8.00001600000000180e+04
9 10000.02 8.00001600000000035e+04
10 10000.02 8.00001600000000180e+04
11 10000.02 8.00001600000000180e+04
12 10000.02 8.00001600000000035e+04
13 10000.02 8.00001600000000035e+04
14 10000.02 8.00001599999999889e+04
15 10000.02 8.00001600000000035e+04
16 10000.02 8.00001600000000035e+04
17 10000.02 8.00001600000000035e+04
18 10000.02 8.00001600000000180e+04
19 10000.02 8.00001600000000180e+04
20 10000.02 8.00001600000000035e+04
1 10000.03 8.00002399999999907e+04
2 10000.03 8.00002400000000052e+04
3 10000.03 8.00002400000000052e+04
4 10000.03 8.00002400000000052e+04
5 10000.03 8.00002400000000052e+04
6 10000.03 8.00002400000000198e+04
7 10000.03 8.00002400000000052e+04
8 10000.03 8.00002400000000052e+04
9 10000.03 8.00002400000000052e+04
10 10000.03 8.00002400000000052e+04
11 10000.03 8.00002400000000052e+04
12 10000.03 8.00002399999999907e+04
13 10000.03 8.00002400000000052e+04
14 10000.03 8.00002400000000052e+04
15 10000.03 8.00002400000000052e+04
16 10000.03 8.00002399999999907e+04
17 10000.03 8.00002400000000198e+04
18 10000.03 8.00002400000000198e+04
19 10000.03 8.00002400000000052e+04
20 10000.03 8.00002399999999907e+04
1 10000.04 8.00003199999999924e+04
2 10000.04 8.00003200000000215e+04
3 10000.04 8.00003200000000070e+04
4 10000.04 8.00003200000000215e+04
5 10000.04 8.00003200000000070e+04
6 10000.04 8.00003199999999924e+04
7 10000.04 8.00003199999999924e+04
8 10000.04 8.00003200000000070e+04
9 10000.04 8.00003200000000070e+04
10 10000.04 8.00003199999999924e+04
11 10000.04 8.00003200000000215e+04
12 10000.04 8.00003200000000070e+04
13 10000.04 8.00003200000000070e+04
14 10000.04 8.00003200000000070e+04
15 10000.04 8.00003199999999924e+04
16 10000.04 8.00003200000000070e+04
17 10000.04 8.00003200000000070e+04
18 10000.04 8.00003200000000070e+04
19 10000.04 8.00003200000000070e+04
20 10000.04 8.00003200000000070e+04
1 10000.05 8.00003999999999796e+04
2 10000.05 8.00003999999999942e+04
3 10000.05 8.00003999999999942e+04
4 10000.05 8.00003999999999942e+04
5 10000.05 8.00003999999999942e+04
6 10000.05 8.00003999999999942e+04
7 10000.05 8.00003999999999796e+04
8 10000.05 8.00003999999999942e+04
9 10000.05 8.00003999999999942e+04
10 10000.05 8.00004000000000087e+04
11 10000.05 8.00003999999999942e+04
12 10000.05 8.00003999999999796e+04
13 10000.05 8.00003999999999942e+04
14 10000.05 8.00003999999999796e+04
15 10000.05 8.00003999999999942e+04
16 10000.05 8.00003999999999942e+04
17 10000.05 8.00004000000000087e+04
18 10000.05 8.00003999999999942e+04
19 10000.05 8.00003999999999942e+04
20 10000.05 8.00003999999999942e+04
1 10000.06 8.00004799999999959e+04
2 10000.06 8.00004799999999959e+04
3 10000.06 8.00004799999999959e+04
4 10000.06 8.00004799999999959e+04
5 10000.06 8.00004799999999959e+04
6 10000.06 8.00004799999999959e+04
7 10000.06 8.00004799999999959e+04
8 10000.06 8.00004799999999959e+04
9 10000.06 8.00004799999999814e+04
10 10000.06 8.00004799999999814e+04
11 10000.06 8.00004799999999959e+04
12 10000.06 8.00004799999999959e+04
13 10000.06 8.00004799999999959e+04
14 10000.06 8.00004799999999959e+04
15 10000.06 8.00004799999999959e+04
16 10000.06 8.00004799999999959e+04
17 10000.06 8.00004799999999959e+04
18 10000.06 8.00004799999999959e+04
19 10000.06 8.00004799999999959e+04
20 10000.06 8.00004799999999959e+04
1 10000.07 8.00005599999999977e+04
2 10000.07 8.00005600000000122e+04
3 10000.07 8.00005599999999977e+04
4 10000.07 8.00005599999999977e+04
5 10000.07 8.00005599999999831e+04
6 10000.07 8.00005599999999977e+04
7 10000.07 8.00005599999999977e+04
8 10000.07 8.00005599999999977e+04
9 10000.07 8.00005599999999977e+04
10 10000.07 8.00005599999999977e+04
11 10000.07 8.00005599999999977e+04
12 10000.07 8.00005599999999977e+04
13 10000.07 8.00005599999999977e+04
14 10000.07 8.00005599999999831e+04
15 10000.07 8.00005599999999977e+04
16 10000.07 8.00005599999999977e+04
17 10000.07 8.00005599999999831e+04
18 10000.07 8.00005599999999977e+04
19 10000.07 8.00005599999999977e+04
20 10000.07 8.00005599999999977e+04
1 10000.08 8.00006399999999994e+04
2 10000.08 8.00006399999999994e+04
3 10000.08 8.00006399999999849e+04
4 10000.08 8.00006399999999994e+04
5 10000.08 8.00006400000000140e+04
6 10000.08 8.00006400000000140e+04
7 10000.08 8.00006399999999994e+04
8 10000.08 8.00006400000000140e+04
9 10000.08 8.00006399999999994e+04
10 10000.08 8.00006399999999994e+04
11 10000.08 8.00006399999999994e+04
12 10000.08 8.00006399999999994e+04
13 10000.08 8.00006399999999994e+04
14 10000.08 8.00006399999999849e+04
15 10000.08 8.00006399999999849e+04
16 10000.08 8.00006399999999994e+04
17 10000.08 8.00006399999999994e+04
18 10000.08 8.00006399999999994e+04
19 10000.08 8.00006399999999994e+04
20 10000.08 8.00006399999999994e+04
1 10000.09 8.00007199999999866e+04
2 10000.09 8.00007200000000012e+04
3 10000.09 8.00007200000000157e+04
4 10000.09 8.00007199999999866e+04
5 10000.09 8.00007200000000012e+04
6 10000.09 8.00007200000000157e+04
7 10000.09 8.00007200000000012e+04
8 10000.09 8.00007200000000012e+04
9 10000.09 8.00007200000000012e+04
10 10000.09 8.00007199999999866e+04
11 10000.09 8.00007200000000012e+04
12 10000.09 8.00007199999999866e+04
13 10000.09 8.00007200000000012e+04
14 10000.09 8.00007199999999866e+04
15 10000.09 8.00007200000000012e+04
16 10000.09 8.00007200000000012e+04
17 10000.09 8.00007200000000012e+04
18 10000.09 8.00007200000000157e+04
19 10000.09 8.00007200000000012e+04
20 10000.09 8.00007199999999866e+04
1 10000.10 8.00008000000000029e+04
2 10000.10 8.00008000000000029e+04
3 10000.10 8.00008000000000029e+04
4 10000.10 8.00008000000000175e+04
5 10000.10 8.00008000000000029e+04
6 10000.10 8.00008000000000029e+04
7 10000.10 8.00008000000000029e+04
8 10000.10 8.00008000000000029e+04
9 10000.10 8.00008000000000175e+04
10 10000.10 8.00008000000000029e+04
11 10000.10 8.00007999999999884e+04
12 10000.10 8.00008000000000029e+04
13 10000.10 8.00008000000000029e+04
14 10000.10 8.00008000000000029e+04
15 10000.10 8.00008000000000175e+04
16 10000.10 8.00007999999999884e+04
17 10000.10 8.00008000000000029e+04
18 10000.10 8.00008000000000175e+04
19 10000.10 8.00008000000000029e+04
20 10000.10 8.00007999999999884e+04
1 10000.11 8.00008800000000047e+04
2 10000.11 8.00008800000000047e+04
3 10000.11 8.00008800000000047e+04
4 10000.11 8.00008800000000047e+04
5 10000.11 8.00008800000000192e+04
6 10000.11 8.00008800000000047e+04
7 10000.11 8.00008800000000047e+04
8 10000.11 8.00008800000000047e+04
9 10000.11 8.00008799999999901e+04
10 10000.11 8.00008800000000047e+04
11 10000.11 8.00008799999999901e+04
12 10000.11 8.00008800000000047e+04
13 10000.11 8.00008800000000047e+04
14 10000.11 8.00008800000000047e+04
15 10000.11 8.00008800000000047e+04
16 10000.11 8.00008800000000047e+04
17 10000.11 8.00008800000000047e+04
18 10000.11 8.00008800000000192e+04
19 10000.11 8.00008800000000047e+04
20 10000.11 8.00008800000000192e+04
1 10000.12 8.00009600000000064e+04
2 10000.12 8.00009600000000064e+04
3 10000.12 8.00009600000000064e+04
4 10000.12 8.00009600000000064e+04
5 10000.12 8.00009600000000064e+04
6 10000.12 8.00009600000000064e+04
7 10000.12 8.00009600000000064e+04
8 10000.12 8.00009599999999919e+04
9 10000.12 8.00009600000000064e+04
10 10000.12 8.00009600000000064e+04
11 10000.12 8.00009599999999919e+04
12 10000.12 8.00009599999999919e+04
13 10000.12 8.00009600000000064e+04
14 10000.12 8.00009600000000064e+04
15 10000.12 8.00009600000000064e+04
16 10000.12 8.00009599999999919e+04
17 10000.12 8.00009599999999919e+04
18 10000.12 8.00009600000000064e+04
19 10000.12 8.00009600000000064e+04
20 10000.12 8.00009600000000210e+04
1 10000.13 8.00010399999999936e+04
2 10000.13 8.00010399999999936e+04
3 10000.13 8.00010399999999936e+04
4 10000.13 8.00010399999999936e+04
5 10000.13 8.00010399999999936e+04
6 10000.13 8.00010399999999936e+04
7 10000.13 8.00010399999999790e+04
8 10000.13 8.00010399999999790e+04
9 10000.13 8.00010399999999936e+04
10 10000.13 8.00010399999999936e+04
11 10000.13 8.00010400000000081e+04
12 10000.13 8.00010400000000081e+04
13 10000.13 8.00010399999999936e+04
14 10000.13 8.00010400000000081e+04
15 10000.13 8.00010399999999936e+04
16 10000.13 8.00010400000000081e+04
17 10000.13 8.00010399999999936e+04
18 10000.13 8.00010399999999936e+04
19 10000.13 8.00010399999999936e+04
20 10000.13 8.00010400000000081e+04
1 10000.14 8.00011199999999953e+04
2 10000.14 8.00011199999999953e+04
3 10000.14 8.00011199999999953e+04
4 10000.14 8.00011200000000099e+04
5 10000.14 8.00011199999999808e+04
6 10000.14 8.00011200000000099e+04
7 10000.14 8.00011199999999953e+04
8 10000.14 8.00011200000000099e+04
9 10000.14 8.00011200000000099e+04
10 10000.14 8.00011199999999953e+04
11 10000.14 8.00011199999999953e+04
12 10000.14 8.00011199999999953e+04
13 10000.14 8.00011200000000099e+04
14 10000.14 8.00011199999999953e+04
15 10000.14 8.00011199999999808e+04
16 10000.14 8.00011199999999953e+04
17 10000.14 8.00011199999999953e+04
18 10000.14 8.00011199999999953e+04
19 10000.14 8.00011199999999953e+04
20 10000.14 8.00011200000000099e+04
1 10000.15 8.00011999999999971e+04
2 10000.15 8.00011999999999971e+04
3 10000.15 8.00011999999999971e+04
4 10000.15 8.00011999999999971e+04
5 10000.15 8.00012000000000116e+04
6 10000.15 8.00011999999999971e+04
7 10000.15 8.00011999999999971e+04
8 10000.15 8.00012000000000116e+04
9 10000.15 8.00011999999999971e+04
10 10000.15 8.00011999999999971e+04
11 10000.15 8.00011999999999971e+04
12 10000.15 8.00012000000000116e+04
13 10000.15 8.00011999999999971e+04
14 10000.15 8.00011999999999971e+04
15 10000.15 8.00011999999999971e+04
16 10000.15 8.00012000000000116e+04
17 10000.15 8.00012000000000116e+04
18 10000.15 8.00011999999999971e+04
19 10000.15 8.00011999999999971e+04
20 10000.15 8.00011999999999971e+04
1 10000.16 8.00012799999999988e+04
2 10000.16 8.00012799999999988e+04
3 10000.16 8.00012799999999988e+04
4 10000.16 8.00012799999999843e+04
5 10000.16 8.00012799999999843e+04
6 10000.16 8.00012799999999988e+04
7 10000.16 8.00012799999999988e+04
8 10000.16 8.00012800000000134e+04
9 10000.16 8.00012799999999988e+04
10 10000.16 8.00012799999999988e+04
11 10000.16 8.00012799999999988e+04
12 10000.16 8.00012799999999988e+04
13 10000.16 8.00012800000000134e+04
14 10000.16 8.00012799999999843e+04
15 10000.16 8.00012799999999988e+04
16 10000.16 8.00012799999999988e+04
17 10000.16 8.00012799999999843e+04
18 10000.16 8.00012800000000134e+04
19 10000.16 8.00012799999999988e+04
20 10000.16 8.00012799999999988e+04
1 10000.17 8.00013600000000006e+04
2 10000.17 8.00013600000000006e+04
3 10000.17 8.00013600000000006e+04
4 10000.17 8.00013600000000006e+04
5 10000.17 8.00013600000000006e+04
6 10000.17 8.00013600000000006e+04
7 10000.17 8.00013600000000006e+04
8 10000.17 8.00013600000000006e+04
9 10000.17 8.00013600000000006e+04
10 10000.17 8.00013600000000151e+04
11 10000.17 8.00013600000000006e+04
12 10000.17 8.00013600000000006e+04
13 10000.17 8.00013600000000006e+04
14 10000.17 8.00013600000000006e+04
15 10000.17 8.00013600000000006e+04
16 10000.17 8.00013600000000151e+04
17 10000.17 8.00013599999999860e+04
18 10000.17 8.00013600000000006e+04
19 10000.17 8.00013600000000006e+04
20 10000.17 8.00013600000000006e+04
1 10000.18 8.00014400000000023e+04
2 10000.18 8.00014400000000023e+04
3 10000.18 8.00014400000000023e+04
4 10000.18 8.00014400000000023e+04
5 10000.18 8.00014400000000023e+04
6 10000.18 8.00014400000000023e+04
7 10000.18 8.00014400000000023e+04
8 10000.18 8.00014400000000169e+04
9 10000.18 8.00014400000000023e+04
10 10000.18 8.00014400000000023e+04
11 10000.18 8.00014400000000023e+04
12 10000.18 8.00014400000000023e+04
13 10000.18 8.00014400000000023e+04
14 10000.18 8.00014400000000023e+04
15 10000.18 8.00014400000000023e+04
16 10000.18 8.00014400000000169e+04
17 10000.18 8.00014400000000023e+04
18 10000.18 8.00014400000000023e+04
19 10000.18 8.00014400000000023e+04
20 10000.18 8.00014400000000169e+04
1 10000.19 8.00015200000000041e+04
2 10000.19 8.00015199999999895e+04
3 10000.19 8.00015200000000041e+04
4 10000.19 8.00015200000000041e+04
5 10000.19 8.00015200000000186e+04
6 10000.19 8.00015200000000041e+04
7 10000.19 8.00015200000000041e+04
8 10000.19 8.00015200000000041e+04
9 10000.19 8.00015200000000041e+04
10 10000.19 8.00015199999999895e+04
11 10000.19 8.00015200000000041e+04
12 10000.19 8.00015200000000041e+04
13 10000.19 8.00015199999999895e+04
14 10000.19 8.00015199999999895e+04
15 10000.19 8.00015200000000041e+04
16 10000.19 8.00015200000000041e+04
17 10000.19 8.00015200000000041e+04
18 10000.19 8.00015200000000041e+04
19 10000.19 8.00015200000000041e+04
20 10000.19 8.00015200000000186e+04
1 10000.20 8.00016000000000058e+04
2 10000.20 8.00016000000000058e+04
3 10000.20 8.00016000000000058e+04
4 10000.20 8.00016000000000058e+04
5 10000.20 8.00016000000000058e+04
6 10000.20 8.00016000000000058e+04
7 10000.20 8.00016000000000058e+04
8 10000.20 8.00016000000000204e+04
9 10000.20 8.00016000000000058e+04
10 10000.20 8.00016000000000058e+04
11 10000.20 8.00016000000000058e+04
12 10000.20 8.00016000000000058e+04
13 10000.20 8.00015999999999913e+04
14 10000.20 8.00016000000000058e+04
15 10000.20 8.00016000000000058e+04
16 10000.20 8.00016000000000058e+04
17 10000.20 8.00015999999999913e+04
18 10000.20 8.00016000000000204e+04
19 10000.20 8.00016000000000058e+04
20 10000.20 8.00015999999999913e+04
1 10000.21 8.00016799999999930e+04
2 10000.21 8.00016800000000076e+04
3 10000.21 8.00016799999999930e+04
4 10000.21 8.00016799999999930e+04
5 10000.21 8.00016799999999930e+04
6 10000.21 8.00016799999999930e+04
7 10000.21 8.00016799999999930e+04
8 10000.21 8.00016799999999930e+04
9 10000.21 8.00016799999999930e+04
10 10000.21 8.00016799999999930e+04
11 10000.21 8.00016799999999930e+04
12 10000.21 8.00016799999999785e+04
13 10000.21 8.00016799999999930e+04
14 10000.21 8.00016799999999930e+04
15 10000.21 8.00016799999999930e+04
16 10000.21 8.00016799999999930e+04
17 10000.21 8.00016800000000076e+04
18 10000.21 8.00016799999999930e+04
19 10000.21 8.00016799999999930e+04
20 10000.21 8.00016799999999785e+04
1 10000.22 8.00017599999999948e+04
2 10000.22 8.00017599999999948e+04
3 10000.22 8.00017599999999948e+04
4 10000.22 8.00017599999999948e+04
5 10000.22 8.00017599999999948e+04
6 10000.22 8.00017599999999948e+04
7 10000.22 8.00017600000000093e+04
8 10000.22 8.00017599999999948e+04
9 10000.22 8.00017599999999948e+04
10 10000.22 8.00017599999999948e+04
11 10000.22 8.00017600000000093e+04
12 10000.22 8.00017599999999948e+04
13 10000.22 8.00017599999999948e+04
14 10000.22 8.00017600000000093e+04
15 10000.22 8.00017599999999948e+04
16 10000.22 8.00017599999999802e+04
17 10000.22 8.00017599999999948e+04
18 10000.22 8.00017600000000093e+04
19 10000.22 8.00017599999999948e+04
20 10000.22 8.00017599999999948e+04
1 10000.23 8.00018399999999965e+04
2 10000.23 8.00018399999999820e+04
3 10000.23 8.00018399999999965e+04
4 10000.23 8.00018400000000111e+04
5 10000.23 8.00018399999999965e+04
6 10000.23 8.00018399999999965e+04
7 10000.23 8.00018399999999965e+04
8 10000.23 8.00018399999999820e+04
9 10000.23 8.00018399999999965e+04
10 10000.23 8.00018400000000111e+04
11 10000.23 8.00018399999999965e+04
12 10000.23 8.00018399999999965e+04
13 10000.23 8.00018399999999965e+04
14 10000.23 8.00018399999999965e+04
15 10000.23 8.00018399999999820e+04
16 10000.23 8.00018399999999965e+04
17 10000.23 8.00018399999999965e+04
18 10000.23 8.00018399999999965e+04
19 10000.23 8.00018399999999965e+04
20 10000.23 8.00018399999999820e+04
1 10000.24 8.00019199999999983e+04
2 10000.24 8.00019199999999837e+04
3 10000.24 8.00019199999999983e+04
4 10000.24 8.00019199999999983e+04
5 10000.24 8.00019199999999983e+04
6 10000.24 8.00019199999999837e+04
7 10000.24 8.00019199999999983e+04
8 10000.24 8.00019199999999983e+04
9 10000.24 8.00019199999999983e+04
10 10000.24 8.00019199999999983e+04
11 10000.24 8.00019199999999983e+04
12 10000.24 8.00019199999999983e+04
13 10000.24 8.00019199999999983e+04
14 10000.24 8.00019200000000128e+04
15 10000.24 8.00019199999999837e+04
16 10000.24 8.00019199999999837e+04
17 10000.24 8.00019199999999983e+04
18 10000.24 8.00019199999999983e+04
19 10000.24 8.00019199999999837e+04
20 10000.24 8.00019199999999983e+04
1 10000.25 8.00020000000000146e+04
2 10000.25 8.00019999999999854e+04
3 10000.25 8.00020000000000000e+04
4 10000.25 8.00020000000000000e+04
5 10000.25 8.00020000000000000e+04
6 10000.25 8.00020000000000146e+04
7 10000.25 8.00019999999999854e+04
8 10000.25 8.00020000000000000e+04
9 10000.25 8.00020000000000000e+04
10 10000.25 8.00019999999999854e+04
11 10000.25 8.00020000000000000e+04
12 10000.25 8.00020000000000000e+04
13 10000.25 8.00020000000000000e+04
14 10000.25 8.00020000000000000e+04
15 10000.25 8.00020000000000146e+04
16 10000.25 8.00020000000000000e+04
17 10000.25 8.00020000000000000e+04
18 10000.25 8.00020000000000146e+04
19 10000.25 8.00020000000000000e+04
20 10000.25 8.00019999999999854e+04
1 10000.26 8.00020800000000017e+04
2 10000.26 8.00020800000000017e+04
3 10000.26 8.00020800000000017e+04
