# Verificarlo Analysis for parallel_3
# Source: parallel_3.c
# Type: DOUBLE, Precision: 53, Mode: mca
# Range: [1e10:0.01:1.0000000001e10], Iterations: 20
i x result
1 10000000000.00 8.00000000000000000e+10
2 10000000000.00 8.00000000000000000e+10
3 10000000000.00 7.99999999999999847e+10
4 10000000000.00 8.00000000000000153e+10
5 10000000000.00 8.00000000000000000e+10
6 10000000000.00 8.00000000000000000e+10
7 10000000000.00 7.99999999999999847e+10
8 10000000000.00 8.00000000000000000e+10
9 10000000000.00 8.00000000000000000e+10
10 10000000000.00 8.00000000000000000e+10
11 10000000000.00 8.00000000000000000e+10
12 10000000000.00 8.00000000000000153e+10
13 10000000000.00 7.99999999999999847e+10
14 10000000000.00 8.00000000000000000e+10
15 10000000000.00 7.99999999999999847e+10
16 10000000000.00 8.00000000000000000e+10
17 10000000000.00 8.00000000000000000e+10
18 10000000000.00 7.99999999999999847e+10
19 10000000000.00 8.00000000000000000e+10
20 10000000000.00 8.00000000000000000e+10
1 10000000000.01 8.00000000000800018e+10
2 10000000000.01 8.00000000000800018e+10
3 10000000000.01 8.00000000000800018e+10
4 10000000000.01 8.00000000000800018e+10
5 10000000000.01 8.00000000000799866e+10
6 10000000000.01 8.00000000000800018e+10
7 10000000000.01 8.00000000000800171e+10
8 10000000000.01 8.00000000000800018e+10
9 10000000000.01 8.00000000000800018e+10
10 10000000000.01 8.00000000000800018e+10
11 10000000000.01 8.00000000000800171e+10
12 10000000000.01 8.00000000000800018e+10
13 10000000000.01 8.00000000000800171e+10
14 10000000000.01 8.00000000000800018e+10
15 10000000000.01 8.00000000000800171e+10
16 10000000000.01 8.00000000000799866e+10
17 10000000000.01 8.00000000000800018e+10
18 10000000000.01 8.00000000000800018e+10
19 10000000000.01 8.00000000000800018e+10
20 10000000000.01 8.00000000000800171e+10
1 10000000000.02 8.00000000001600037e+10
2 10000000000.02 8.00000000001600037e+10
3 10000000000.02 8.00000000001599884e+10
4 10000000000.02 8.00000000001600037e+10
5 10000000000.02 8.00000000001600037e+10
6 10000000000.02 8.00000000001599884e+10
7 10000000000.02 8.00000000001599884e+10
8 10000000000.02 8.00000000001600037e+10
9 10000000000.02 8.00000000001599884e+10
10 10000000000.02 8.00000000001599884e+10
11 10000000000.02 8.00000000001599884e+10
12 10000000000.02 8.00000000001600037e+10
13 10000000000.02 8.00000000001600037e+10
14 10000000000.02 8.00000000001600189e+10
15 10000000000.02 8.00000000001600037e+10
16 10000000000.02 8.00000000001600037e+10
17 10000000000.02 8.00000000001600037e+10
18 10000000000.02 8.00000000001600189e+10
19 10000000000.02 8.00000000001599884e+10
20 10000000000.02 8.00000000001600037e+10
1 10000000000.03 8.00000000002399902e+10
2 10000000000.03 8.00000000002400055e+10
3 10000000000.03 8.00000000002400055e+10
4 10000000000.03 8.00000000002400055e+10
5 10000000000.03 8.00000000002400055e+10
6 10000000000.03 8.00000000002399902e+10
7 10000000000.03 8.00000000002399750e+10
8 10000000000.03 8.00000000002400055e+10
9 10000000000.03 8.00000000002399750e+10
10 10000000000.03 8.00000000002400055e+10
11 10000000000.03 8.00000000002400055e+10
12 10000000000.03 8.00000000002400055e+10
13 10000000000.03 8.00000000002400055e+10
14 10000000000.03 8.00000000002400055e+10
15 10000000000.03 8.00000000002400055e+10
16 10000000000.03 8.00000000002400055e+10
17 10000000000.03 8.00000000002399902e+10
18 10000000000.03 8.00000000002400055e+10
19 10000000000.03 8.00000000002399902e+10
20 10000000000.03 8.00000000002400208e+10
1 10000000000.04 8.00000000003200073e+10
2 10000000000.04 8.00000000003200073e+10
3 10000000000.04 8.00000000003200073e+10
4 10000000000.04 8.00000000003200073e+10
5 10000000000.04 8.00000000003200073e+10
6 10000000000.04 8.00000000003200073e+10
7 10000000000.04 8.00000000003200073e+10
8 10000000000.04 8.00000000003200073e+10
9 10000000000.04 8.00000000003200073e+10
10 10000000000.04 8.00000000003200073e+10
11 10000000000.04 8.00000000003200073e+10
12 10000000000.04 8.00000000003200073e+10
13 10000000000.04 8.00000000003200073e+10
14 10000000000.04 8.00000000003200226e+10
15 10000000000.04 8.00000000003200073e+10
16 10000000000.04 8.00000000003200073e+10
17 10000000000.04 8.00000000003200073e+10
18 10000000000.04 8.00000000003200073e+10
19 10000000000.04 8.00000000003199921e+10
20 10000000000.04 8.00000000003200073e+10
1 10000000000.05 8.00000000003999939e+10
2 10000000000.05 8.00000000003999786e+10
3 10000000000.05 8.00000000003999939e+10
4 10000000000.05 8.00000000003999939e+10
5 10000000000.05 8.00000000003999939e+10
6 10000000000.05 8.00000000003999939e+10
7 10000000000.05 8.00000000004000092e+10
8 10000000000.05 8.00000000004000092e+10
9 10000000000.05 8.00000000003999939e+10
10 10000000000.05 8.00000000003999939e+10
11 10000000000.05 8.00000000003999939e+10
12 10000000000.05 8.00000000003999939e+10
13 10000000000.05 8.00000000003999786e+10
14 10000000000.05 8.00000000004000092e+10
15 10000000000.05 8.00000000004000092e+10
16 10000000000.05 8.00000000003999786e+10
17 10000000000.05 8.00000000003999939e+10
18 10000000000.05 8.00000000004000092e+10
19 10000000000.05 8.00000000003999939e+10
20 10000000000.05 8.00000000003999939e+10
1 10000000000.06 8.00000000004799957e+10
2 10000000000.06 8.00000000004799957e+10
3 10000000000.06 8.00000000004799957e+10
4 10000000000.06 8.00000000004799805e+10
5 10000000000.06 8.00000000004800110e+10
6 10000000000.06 8.00000000004799805e+10
7 10000000000.06 8.00000000004799957e+10
8 10000000000.06 8.00000000004799957e+10
9 10000000000.06 8.00000000004799805e+10
10 10000000000.06 8.00000000004799805e+10
11 10000000000.06 8.00000000004800110e+10
12 10000000000.06 8.00000000004799957e+10
13 10000000000.06 8.00000000004799957e+10
14 10000000000.06 8.00000000004800110e+10
15 10000000000.06 8.00000000004799957e+10
16 10000000000.06 8.00000000004799957e+10
17 10000000000.06 8.00000000004799957e+10
18 10000000000.06 8.00000000004799957e+10
19 10000000000.06 8.00000000004799957e+10
20 10000000000.06 8.00000000004799957e+10
1 10000000000.07 8.00000000005599976e+10
2 10000000000.07 8.00000000005599976e+10
3 10000000000.07 8.00000000005599976e+10
