x0,x1,x2,mean,std,min,max,count,sig_digits
-10.0,0.0,0.0,2.2699410000000002e-05,2.999999999904934e-11,2.26994e-05,2.26995e-05,10,5.878893314510382
-9.99,0.0,0.0,2.29276e-05,0.0,2.29276e-05,2.29276e-05,10,7.224719895935548
-9.98,0.0,0.0,2.3158000000000004e-05,3.3881317890172014e-21,2.3158e-05,2.3158e-05,10,7.224719895935548
-9.97,0.0,0.0,2.33907e-05,0.0,2.33907e-05,2.33907e-05,10,7.224719895935548
-9.96,0.0,0.0,2.36258e-05,0.0,2.36258e-05,2.36258e-05,10,7.224719895935548
-9.95,0.0,0.0,2.3863200000000002e-05,3.3881317890172014e-21,2.38632e-05,2.38632e-05,10,7.224719895935548
-9.94,0.0,0.0,2.4103099999999996e-05,3.3881317890172014e-21,2.41031e-05,2.41031e-05,10,7.224719895935548
-9.93,0.0,0.0,2.43453e-05,0.0,2.43453e-05,2.43453e-05,10,7.224719895935548
-9.92,0.0,0.0,2.459e-05,0.0,2.459e-05,2.459e-05,10,7.224719895935548
-9.91,0.0,0.0,2.48371e-05,0.0,2.48371e-05,2.48371e-05,10,7.224719895935548
-9.9,0.0,0.0,2.5086699999999998e-05,3.3881317890172014e-21,2.50867e-05,2.50867e-05,10,7.224719895935548
-9.89,0.0,0.0,2.5338800000000002e-05,3.3881317890172014e-21,2.53388e-05,2.53388e-05,10,7.224719895935548
-9.88,0.0,0.0,2.5593499999999998e-05,3.3881317890172014e-21,2.55935e-05,2.55935e-05,10,7.224719895935548
-9.87,0.0,0.0,2.58507e-05,0.0,2.58507e-05,2.58507e-05,10,7.224719895935548
-9.86,0.0,0.0,2.6110499999999997e-05,3.3881317890172014e-21,2.61105e-05,2.61105e-05,10,7.224719895935548
-9.85,0.0,0.0,2.63729e-05,0.0,2.63729e-05,2.63729e-05,10,7.224719895935548
-9.84,0.0,0.0,2.66379e-05,0.0,2.66379e-05,2.66379e-05,10,7.224719895935548
-9.83,0.0,0.0,2.6905689999999998e-05,3.000000000006578e-11,2.69056e-05,2.69057e-05,10,5.952722879344486
-9.82,0.0,0.0,2.71761e-05,0.0,2.71761e-05,2.71761e-05,10,7.224719895935548
-9.81,0.0,0.0,2.7449199999999998e-05,3.3881317890172014e-21,2.74492e-05,2.74492e-05,10,7.224719895935548
-9.8,0.0,0.0,2.7725e-05,0.0,2.7725e-05,2.7725e-05,10,7.224719895935548
-9.79,0.0,0.0,2.80037e-05,0.0,2.80037e-05,2.80037e-05,10,7.224719895935548
-9.78,0.0,0.0,2.8285100000000005e-05,3.3881317890172014e-21,2.82851e-05,2.82851e-05,10,7.224719895935548
-9.77,0.0,0.0,2.85694e-05,0.0,2.85694e-05,2.85694e-05,10,7.224719895935548
-9.76,0.0,0.0,2.88565e-05,0.0,2.88565e-05,2.88565e-05,10,7.224719895935548
-9.75,0.0,0.0,2.9146499999999996e-05,3.3881317890172014e-21,2.91465e-05,2.91465e-05,10,7.224719895935548
-9.74,0.0,0.0,2.94394e-05,0.0,2.94394e-05,2.94394e-05,10,7.224719895935548
-9.73,0.0,0.0,2.9735300000000003e-05,3.3881317890172014e-21,2.97353e-05,2.97353e-05,10,7.224719895935548
-9.72,0.0,0.0,3.0034100000000004e-05,3.3881317890172014e-21,3.00341e-05,3.00341e-05,10,7.224719895935548
-9.71,0.0,0.0,3.0335900000000002e-05,3.3881317890172014e-21,3.03359e-05,3.03359e-05,10,7.224719895935548
-9.7,0.0,0.0,3.0640800000000007e-05,6.776263578034403e-21,3.06408e-05,3.06408e-05,10,7.224719895935548
-9.69,0.0,0.0,3.09487e-05,0.0,3.09487e-05,3.09487e-05,10,7.224719895935548
-9.68,0.0,0.0,3.12598e-05,0.0,3.12598e-05,3.12598e-05,10,7.224719895935548
-9.67,0.0,0.0,3.15739e-05,0.0,3.15739e-05,3.15739e-05,10,7.224719895935548
-9.66,0.0,0.0,3.18912e-05,0.0,3.18912e-05,3.18912e-05,10,7.224719895935548
-9.65,0.0,0.0,3.22117e-05,0.0,3.22117e-05,3.22117e-05,10,7.224719895935548
-9.64,0.0,0.0,3.25355e-05,0.0,3.25355e-05,3.25355e-05,10,7.224719895935548
-9.63,0.0,0.0,3.28624e-05,0.0,3.28624e-05,3.28624e-05,10,7.224719895935548
-9.62,0.0,0.0,3.31927e-05,0.0,3.31927e-05,3.31927e-05,10,7.224719895935548
-9.61,0.0,0.0,3.352629999999999e-05,6.776263578034403e-21,3.35263e-05,3.35263e-05,10,7.224719895935548
-9.6,0.0,0.0,3.38632e-05,0.0,3.38632e-05,3.38632e-05,10,7.224719895935548
-9.59,0.0,0.0,3.4203500000000005e-05,6.776263578034403e-21,3.42035e-05,3.42035e-05,10,7.224719895935548
-9.58,0.0,0.0,3.45473e-05,0.0,3.45473e-05,3.45473e-05,10,7.224719895935548
-9.57,0.0,0.0,3.48945e-05,0.0,3.48945e-05,3.48945e-05,10,7.224719895935548
-9.56,0.0,0.0,3.52452e-05,0.0,3.52452e-05,3.52452e-05,10,7.224719895935548
-9.55,0.0,0.0,3.55994e-05,0.0,3.55994e-05,3.55994e-05,10,7.224719895935548
-9.54,0.0,0.0,3.59571e-05,0.0,3.59571e-05,3.59571e-05,10,7.224719895935548
-9.53,0.0,0.0,3.6318499999999995e-05,6.776263578034403e-21,3.63185e-05,3.63185e-05,10,7.224719895935548
-9.52,0.0,0.0,3.6683499999999995e-05,6.776263578034403e-21,3.66835e-05,3.66835e-05,10,7.224719895935548
-9.51,0.0,0.0,3.705212999999999e-05,4.5825756949658885e-11,3.70521e-05,3.70522e-05,10,5.9077035317667885
-9.5,0.0,0.0,3.74245e-05,0.0,3.74245e-05,3.74245e-05,10,7.224719895935548
-9.49,0.0,0.0,3.78006e-05,0.0,3.78006e-05,3.78006e-05,10,7.224719895935548
-9.48,0.0,0.0,3.8180500000000005e-05,6.776263578034403e-21,3.81805e-05,3.81805e-05,10,7.224719895935548
-9.47,0.0,0.0,3.85642e-05,0.0,3.85642e-05,3.85642e-05,10,7.224719895935548
-9.46,0.0,0.0,3.89518e-05,0.0,3.89518e-05,3.89518e-05,10,7.224719895935548
-9.45,0.0,0.0,3.9343200000000006e-05,6.776263578034403e-21,3.93432e-05,3.93432e-05,10,7.224719895935548
-9.44,0.0,0.0,3.973859999999999e-05,6.776263578034403e-21,3.97386e-05,3.97386e-05,10,7.224719895935548
-9.43,0.0,0.0,4.0138e-05,0.0,4.0138e-05,4.0138e-05,10,7.224719895935548
-9.42,0.0,0.0,4.054139999999999e-05,6.776263578034403e-21,4.05414e-05,4.05414e-05,10,7.224719895935548
-9.41,0.0,0.0,4.0948800000000003e-05,6.776263578034403e-21,4.09488e-05,4.09488e-05,10,7.224719895935548
-9.4,0.0,0.0,4.13603e-05,0.0,4.13603e-05,4.13603e-05,10,7.224719895935548
-9.39,0.0,0.0,4.1776e-05,0.0,4.1776e-05,4.1776e-05,10,7.224719895935548
-9.38,0.0,0.0,4.219580000000001e-05,6.776263578034403e-21,4.21958e-05,4.21958e-05,10,7.224719895935548
-9.37,0.0,0.0,4.26199e-05,0.0,4.26199e-05,4.26199e-05,10,7.224719895935548
-9.36,0.0,0.0,4.3048200000000006e-05,6.776263578034403e-21,4.30482e-05,4.30482e-05,10,7.224719895935548
-9.35,0.0,0.0,4.34808e-05,0.0,4.34808e-05,4.34808e-05,10,7.224719895935548
