i x0 x1 x2 result
1 -800.000000 0.0 0.0 0
2 -800.000000 0.0 0.0 0
3 -800.000000 0.0 0.0 0
4 -800.000000 0.0 0.0 0
5 -800.000000 0.0 0.0 0
6 -800.000000 0.0 0.0 0
7 -800.000000 0.0 0.0 0
8 -800.000000 0.0 0.0 0
9 -800.000000 0.0 0.0 0
10 -800.000000 0.0 0.0 0
11 -800.000000 0.0 0.0 0
12 -800.000000 0.0 0.0 0
13 -800.000000 0.0 0.0 0
14 -800.000000 0.0 0.0 0
15 -800.000000 0.0 0.0 0
16 -800.000000 0.0 0.0 0
17 -800.000000 0.0 0.0 0
18 -800.000000 0.0 0.0 0
19 -800.000000 0.0 0.0 0
20 -800.000000 0.0 0.0 0
1 -799.500000 0.0 0.0 0
2 -799.500000 0.0 0.0 0
3 -799.500000 0.0 0.0 0
4 -799.500000 0.0 0.0 0
5 -799.500000 0.0 0.0 0
6 -799.500000 0.0 0.0 0
7 -799.500000 0.0 0.0 0
8 -799.500000 0.0 0.0 0
9 -799.500000 0.0 0.0 0
10 -799.500000 0.0 0.0 0
11 -799.500000 0.0 0.0 0
12 -799.500000 0.0 0.0 0
13 -799.500000 0.0 0.0 0
14 -799.500000 0.0 0.0 0
15 -799.500000 0.0 0.0 0
16 -799.500000 0.0 0.0 0
17 -799.500000 0.0 0.0 0
18 -799.500000 0.0 0.0 0
19 -799.500000 0.0 0.0 0
20 -799.500000 0.0 0.0 0
1 -799.000000 0.0 0.0 0
2 -799.000000 0.0 0.0 0
3 -799.000000 0.0 0.0 0
4 -799.000000 0.0 0.0 0
5 -799.000000 0.0 0.0 0
6 -799.000000 0.0 0.0 0
7 -799.000000 0.0 0.0 0
8 -799.000000 0.0 0.0 0
9 -799.000000 0.0 0.0 0
10 -799.000000 0.0 0.0 0
11 -799.000000 0.0 0.0 0
12 -799.000000 0.0 0.0 0
13 -799.000000 0.0 0.0 0
14 -799.000000 0.0 0.0 0
15 -799.000000 0.0 0.0 0
16 -799.000000 0.0 0.0 0
17 -799.000000 0.0 0.0 0
18 -799.000000 0.0 0.0 0
19 -799.000000 0.0 0.0 0
20 -799.000000 0.0 0.0 0
1 -798.500000 0.0 0.0 0
2 -798.500000 0.0 0.0 0
3 -798.500000 0.0 0.0 0
4 -798.500000 0.0 0.0 0
5 -798.500000 0.0 0.0 0
6 -798.500000 0.0 0.0 0
7 -798.500000 0.0 0.0 0
8 -798.500000 0.0 0.0 0
9 -798.500000 0.0 0.0 0
10 -798.500000 0.0 0.0 0
11 -798.500000 0.0 0.0 0
12 -798.500000 0.0 0.0 0
13 -798.500000 0.0 0.0 0
14 -798.500000 0.0 0.0 0
15 -798.500000 0.0 0.0 0
16 -798.500000 0.0 0.0 0
17 -798.500000 0.0 0.0 0
18 -798.500000 0.0 0.0 0
19 -798.500000 0.0 0.0 0
20 -798.500000 0.0 0.0 0
1 -798.000000 0.0 0.0 0
2 -798.000000 0.0 0.0 0
3 -798.000000 0.0 0.0 0
4 -798.000000 0.0 0.0 0
5 -798.000000 0.0 0.0 0
6 -798.000000 0.0 0.0 0
7 -798.000000 0.0 0.0 0
8 -798.000000 0.0 0.0 0
9 -798.000000 0.0 0.0 0
10 -798.000000 0.0 0.0 0
11 -798.000000 0.0 0.0 0
12 -798.000000 0.0 0.0 0
13 -798.000000 0.0 0.0 0
14 -798.000000 0.0 0.0 0
