i x0 x1 x2 result
1 700.000000 0.0 0.0 1
2 700.000000 0.0 0.0 1
3 700.000000 0.0 0.0 1
4 700.000000 0.0 0.0 1
5 700.000000 0.0 0.0 1
6 700.000000 0.0 0.0 1
7 700.000000 0.0 0.0 1
8 700.000000 0.0 0.0 1
9 700.000000 0.0 0.0 1
10 700.000000 0.0 0.0 1
1 700.500000 0.0 0.0 1
2 700.500000 0.0 0.0 1
3 700.500000 0.0 0.0 1
4 700.500000 0.0 0.0 1
5 700.500000 0.0 0.0 1
6 700.500000 0.0 0.0 1
7 700.500000 0.0 0.0 1
8 700.500000 0.0 0.0 1
9 700.500000 0.0 0.0 1
10 700.500000 0.0 0.0 1
1 701.000000 0.0 0.0 1
2 701.000000 0.0 0.0 1
3 701.000000 0.0 0.0 1
4 701.000000 0.0 0.0 1
5 701.000000 0.0 0.0 1
6 701.000000 0.0 0.0 1
7 701.000000 0.0 0.0 1
8 701.000000 0.0 0.0 1
9 701.000000 0.0 0.0 1
10 701.000000 0.0 0.0 1
1 701.500000 0.0 0.0 1
2 701.500000 0.0 0.0 1
3 701.500000 0.0 0.0 1
4 701.500000 0.0 0.0 1
5 701.500000 0.0 0.0 1
6 701.500000 0.0 0.0 1
7 701.500000 0.0 0.0 1
8 701.500000 0.0 0.0 1
9 701.500000 0.0 0.0 1
10 701.500000 0.0 0.0 1
1 702.000000 0.0 0.0 1
2 702.000000 0.0 0.0 1
3 702.000000 0.0 0.0 1
4 702.000000 0.0 0.0 1
5 702.000000 0.0 0.0 1
6 702.000000 0.0 0.0 1
7 702.000000 0.0 0.0 1
8 702.000000 0.0 0.0 1
9 702.000000 0.0 0.0 1
10 702.000000 0.0 0.0 1
1 702.500000 0.0 0.0 1
2 702.500000 0.0 0.0 1
3 702.500000 0.0 0.0 1
4 702.500000 0.0 0.0 1
5 702.500000 0.0 0.0 1
6 702.500000 0.0 0.0 1
7 702.500000 0.0 0.0 1
8 702.500000 0.0 0.0 1
9 702.500000 0.0 0.0 1
10 702.500000 0.0 0.0 1
1 703.000000 0.0 0.0 1
2 703.000000 0.0 0.0 1
3 703.000000 0.0 0.0 1
4 703.000000 0.0 0.0 1
5 703.000000 0.0 0.0 1
6 703.000000 0.0 0.0 1
7 703.000000 0.0 0.0 1
8 703.000000 0.0 0.0 1
9 703.000000 0.0 0.0 1
10 703.000000 0.0 0.0 1
1 703.500000 0.0 0.0 1
2 703.500000 0.0 0.0 1
3 703.500000 0.0 0.0 1
4 703.500000 0.0 0.0 1
5 703.500000 0.0 0.0 1
6 703.500000 0.0 0.0 1
7 703.500000 0.0 0.0 1
8 703.500000 0.0 0.0 1
9 703.500000 0.0 0.0 1
10 703.500000 0.0 0.0 1
1 704.000000 0.0 0.0 1
2 704.000000 0.0 0.0 1
3 704.000000 0.0 0.0 1
4 704.000000 0.0 0.0 1
5 704.000000 0.0 0.0 1
6 704.000000 0.0 0.0 1
7 704.000000 0.0 0.0 1
8 704.000000 0.0 0.0 1
9 704.000000 0.0 0.0 1
10 704.000000 0.0 0.0 1
1 704.500000 0.0 0.0 1
2 704.500000 0.0 0.0 1
3 704.500000 0.0 0.0 1
4 704.500000 0.0 0.0 1
5 704.500000 0.0 0.0 1
6 704.500000 0.0 0.0 1
7 704.500000 0.0 0.0 1
8 704.500000 0.0 0.0 1
9 704.500000 0.0 0.0 1
10 704.500000 0.0 0.0 1
1 705.000000 0.0 0.0 1
2 705.000000 0.0 0.0 1
3 705.000000 0.0 0.0 1
4 705.000000 0.0 0.0 1
5 705.000000 0.0 0.0 1
6 705.000000 0.0 0.0 1
7 705.000000 0.0 0.0 1
8 705.000000 0.0 0.0 1
9 705.000000 0.0 0.0 1
10 705.000000 0.0 0.0 1
