i x0 x1 x2 result
1 -10.000000 -10.000000 0.0 0.000045
2 -10.000000 -10.000000 0.0 0.000045
3 -10.000000 -10.000000 0.0 0.000045
4 -10.000000 -10.000000 0.0 0.000045
5 -10.000000 -10.000000 0.0 0.000045
6 -10.000000 -10.000000 0.0 0.000045
7 -10.000000 -10.000000 0.0 0.000045
8 -10.000000 -10.000000 0.0 0.000045
9 -10.000000 -10.000000 0.0 0.000045
10 -10.000000 -10.000000 0.0 0.000045
1 -10.000000 -9.800000 0.0 0.000045
2 -10.000000 -9.800000 0.0 0.000045
3 -10.000000 -9.800000 0.0 0.000045
4 -10.000000 -9.800000 0.0 0.000045
5 -10.000000 -9.800000 0.0 0.000045
6 -10.000000 -9.800000 0.0 0.000045
7 -10.000000 -9.800000 0.0 0.000045
8 -10.000000 -9.800000 0.0 0.000045
9 -10.000000 -9.800000 0.0 0.000045
10 -10.000000 -9.800000 0.0 0.000045
1 -10.000000 -9.600000 0.0 0.000045
2 -10.000000 -9.600000 0.0 0.000045
3 -10.000000 -9.600000 0.0 0.000045
4 -10.000000 -9.600000 0.0 0.000045
5 -10.000000 -9.600000 0.0 0.000045
6 -10.000000 -9.600000 0.0 0.000045
7 -10.000000 -9.600000 0.0 0.000045
8 -10.000000 -9.600000 0.0 0.000045
9 -10.000000 -9.600000 0.0 0.000045
10 -10.000000 -9.600000 0.0 0.000045
1 -10.000000 -9.400000 0.0 0.000045
2 -10.000000 -9.400000 0.0 0.000045
3 -10.000000 -9.400000 0.0 0.000045
4 -10.000000 -9.400000 0.0 0.000045
5 -10.000000 -9.400000 0.0 0.000045
6 -10.000000 -9.400000 0.0 0.000045
7 -10.000000 -9.400000 0.0 0.000045
8 -10.000000 -9.400000 0.0 0.000045
9 -10.000000 -9.400000 0.0 0.000045
10 -10.000000 -9.400000 0.0 0.000045
1 -10.000000 -9.200000 0.0 0.000045
2 -10.000000 -9.200000 0.0 0.000045
3 -10.000000 -9.200000 0.0 0.000045
4 -10.000000 -9.200000 0.0 0.000045
5 -10.000000 -9.200000 0.0 0.000045
6 -10.000000 -9.200000 0.0 0.000045
7 -10.000000 -9.200000 0.0 0.000045
8 -10.000000 -9.200000 0.0 0.000045
9 -10.000000 -9.200000 0.0 0.000045
10 -10.000000 -9.200000 0.0 0.000045
1 -10.000000 -9.000000 0.0 0.000045
2 -10.000000 -9.000000 0.0 0.000045
3 -10.000000 -9.000000 0.0 0.000045
4 -10.000000 -9.000000 0.0 0.000045
5 -10.000000 -9.000000 0.0 0.000045
6 -10.000000 -9.000000 0.0 0.000045
7 -10.000000 -9.000000 0.0 0.000045
8 -10.000000 -9.000000 0.0 0.000045
9 -10.000000 -9.000000 0.0 0.000045
10 -10.000000 -9.000000 0.0 0.000045
1 -10.000000 -8.800000 0.0 0.000045
2 -10.000000 -8.800000 0.0 0.000045
3 -10.000000 -8.800000 0.0 0.000045
4 -10.000000 -8.800000 0.0 0.000045
5 -10.000000 -8.800000 0.0 0.000045
6 -10.000000 -8.800000 0.0 0.000045
7 -10.000000 -8.800000 0.0 0.000045
8 -10.000000 -8.800000 0.0 0.000045
9 -10.000000 -8.800000 0.0 0.000045
10 -10.000000 -8.800000 0.0 0.000045
1 -10.000000 -8.600000 0.0 0.000045
2 -10.000000 -8.600000 0.0 0.000045
3 -10.000000 -8.600000 0.0 0.000045
4 -10.000000 -8.600000 0.0 0.000045
5 -10.000000 -8.600000 0.0 0.000045
6 -10.000000 -8.600000 0.0 0.000045
7 -10.000000 -8.600000 0.0 0.000045
8 -10.000000 -8.600000 0.0 0.000045
9 -10.000000 -8.600000 0.0 0.000045
10 -10.000000 -8.600000 0.0 0.000045
1 -10.000000 -8.400000 0.0 0.000045
2 -10.000000 -8.400000 0.0 0.000045
3 -10.000000 -8.400000 0.0 0.000045
4 -10.000000 -8.400000 0.0 0.000045
5 -10.000000 -8.400000 0.0 0.000045
6 -10.000000 -8.400000 0.0 0.000045
7 -10.000000 -8.400000 0.0 0.000045
8 -10.000000 -8.400000 0.0 0.000045
9 -10.000000 -8.400000 0.0 0.000045
10 -10.000000 -8.400000 0.0 0.000045
1 -10.000000 -8.200000 0.0 0.000045
2 -10.000000 -8.200000 0.0 0.000045
3 -10.000000 -8.200000 0.0 0.000045
4 -10.000000 -8.200000 0.0 0.000045
5 -10.000000 -8.200000 0.0 0.000045
6 -10.000000 -8.200000 0.0 0.000045
7 -10.000000 -8.200000 0.0 0.000045
8 -10.000000 -8.200000 0.0 0.000045
9 -10.000000 -8.200000 0.0 0.000045
10 -10.000000 -8.200000 0.0 0.000045
1 -10.000000 -8.000000 0.0 0.000045
2 -10.000000 -8.000000 0.0 0.000045
3 -10.000000 -8.000000 0.0 0.000045
4 -10.000000 -8.000000 0.0 0.000045
5 -10.000000 -8.000000 0.0 0.000045
6 -10.000000 -8.000000 0.0 0.000045
7 -10.000000 -8.000000 0.0 0.000045
8 -10.000000 -8.000000 0.0 0.000045
9 -10.000000 -8.000000 0.0 0.000045
10 -10.000000 -8.000000 0.0 0.000045
1 -10.000000 -7.800000 0.0 0.000045
2 -10.000000 -7.800000 0.0 0.000045
3 -10.000000 -7.800000 0.0 0.000045
4 -10.000000 -7.800000 0.0 0.000045
5 -10.000000 -7.800000 0.0 0.000045
6 -10.000000 -7.800000 0.0 0.000045
7 -10.000000 -7.800000 0.0 0.000045
8 -10.000000 -7.800000 0.0 0.000045
9 -10.000000 -7.800000 0.0 0.000045
10 -10.000000 -7.800000 0.0 0.000045
1 -10.000000 -7.600000 0.0 0.000045
2 -10.000000 -7.600000 0.0 0.000045
3 -10.000000 -7.600000 0.0 0.000045
4 -10.000000 -7.600000 0.0 0.000045
5 -10.000000 -7.600000 0.0 0.000045
6 -10.000000 -7.600000 0.0 0.000045
7 -10.000000 -7.600000 0.0 0.000045
8 -10.000000 -7.600000 0.0 0.000045
9 -10.000000 -7.600000 0.0 0.000045
10 -10.000000 -7.600000 0.0 0.000045
1 -10.000000 -7.400000 0.0 0.000045
2 -10.000000 -7.400000 0.0 0.000045
3 -10.000000 -7.400000 0.0 0.000045
4 -10.000000 -7.400000 0.0 0.000045
5 -10.000000 -7.400000 0.0 0.000045
6 -10.000000 -7.400000 0.0 0.000045
7 -10.000000 -7.400000 0.0 0.000045
8 -10.000000 -7.400000 0.0 0.000045
9 -10.000000 -7.400000 0.0 0.000045
10 -10.000000 -7.400000 0.0 0.000045
1 -10.000000 -7.200000 0.0 0.000045
2 -10.000000 -7.200000 0.0 0.000045
3 -10.000000 -7.200000 0.0 0.000045
4 -10.000000 -7.200000 0.0 0.000045
5 -10.000000 -7.200000 0.0 0.000045
6 -10.000000 -7.200000 0.0 0.000045
7 -10.000000 -7.200000 0.0 0.000045
8 -10.000000 -7.200000 0.0 0.000045
9 -10.000000 -7.200000 0.0 0.000045
10 -10.000000 -7.200000 0.0 0.000045
1 -10.000000 -7.000000 0.0 0.000045
2 -10.000000 -7.000000 0.0 0.000045
3 -10.000000 -7.000000 0.0 0.000045
4 -10.000000 -7.000000 0.0 0.000045
5 -10.000000 -7.000000 0.0 0.000045
6 -10.000000 -7.000000 0.0 0.000045
7 -10.000000 -7.000000 0.0 0.000045
8 -10.000000 -7.000000 0.0 0.000045
9 -10.000000 -7.000000 0.0 0.000045
10 -10.000000 -7.000000 0.0 0.000045
1 -10.000000 -6.800000 0.0 0.000045
2 -10.000000 -6.800000 0.0 0.000045
3 -10.000000 -6.800000 0.0 0.000045
4 -10.000000 -6.800000 0.0 0.000045
5 -10.000000 -6.800000 0.0 0.000045
6 -10.000000 -6.800000 0.0 0.000045
7 -10.000000 -6.800000 0.0 0.000045
8 -10.000000 -6.800000 0.0 0.000045
9 -10.000000 -6.800000 0.0 0.000045
10 -10.000000 -6.800000 0.0 0.000045
1 -10.000000 -6.600000 0.0 0.000045
2 -10.000000 -6.600000 0.0 0.000045
3 -10.000000 -6.600000 0.0 0.000045
4 -10.000000 -6.600000 0.0 0.000045
5 -10.000000 -6.600000 0.0 0.000045
6 -10.000000 -6.600000 0.0 0.000045
7 -10.000000 -6.600000 0.0 0.000045
8 -10.000000 -6.600000 0.0 0.000045
9 -10.000000 -6.600000 0.0 0.000045
10 -10.000000 -6.600000 0.0 0.000045
1 -10.000000 -6.400000 0.0 0.000045
2 -10.000000 -6.400000 0.0 0.000045
3 -10.000000 -6.400000 0.0 0.000045
4 -10.000000 -6.400000 0.0 0.000045
5 -10.000000 -6.400000 0.0 0.000045
6 -10.000000 -6.400000 0.0 0.000045
7 -10.000000 -6.400000 0.0 0.000045
8 -10.000000 -6.400000 0.0 0.000045
9 -10.000000 -6.400000 0.0 0.000045
10 -10.000000 -6.400000 0.0 0.000045
1 -10.000000 -6.200000 0.0 0.000045
2 -10.000000 -6.200000 0.0 0.000045
3 -10.000000 -6.200000 0.0 0.000045
4 -10.000000 -6.200000 0.0 0.000045
5 -10.000000 -6.200000 0.0 0.000045
6 -10.000000 -6.200000 0.0 0.000045
7 -10.000000 -6.200000 0.0 0.000045
8 -10.000000 -6.200000 0.0 0.000045
9 -10.000000 -6.200000 0.0 0.000045
10 -10.000000 -6.200000 0.0 0.000045
1 -10.000000 -6.000000 0.0 0.000045
2 -10.000000 -6.000000 0.0 0.000045
3 -10.000000 -6.000000 0.0 0.000045
4 -10.000000 -6.000000 0.0 0.000045
5 -10.000000 -6.000000 0.0 0.000045
6 -10.000000 -6.000000 0.0 0.000045
7 -10.000000 -6.000000 0.0 0.000045
8 -10.000000 -6.000000 0.0 0.000045
9 -10.000000 -6.000000 0.0 0.000045
10 -10.000000 -6.000000 0.0 0.000045
1 -10.000000 -5.800000 0.0 0.000045
2 -10.000000 -5.800000 0.0 0.000045
3 -10.000000 -5.800000 0.0 0.000045
4 -10.000000 -5.800000 0.0 0.000045
5 -10.000000 -5.800000 0.0 0.000045
6 -10.000000 -5.800000 0.0 0.000045
7 -10.000000 -5.800000 0.0 0.000045
8 -10.000000 -5.800000 0.0 0.000045
9 -10.000000 -5.800000 0.0 0.000045
10 -10.000000 -5.800000 0.0 0.000045
1 -10.000000 -5.600000 0.0 0.000045
2 -10.000000 -5.600000 0.0 0.000045
3 -10.000000 -5.600000 0.0 0.000045
4 -10.000000 -5.600000 0.0 0.000045
5 -10.000000 -5.600000 0.0 0.000045
6 -10.000000 -5.600000 0.0 0.000045
7 -10.000000 -5.600000 0.0 0.000045
8 -10.000000 -5.600000 0.0 0.000045
9 -10.000000 -5.600000 0.0 0.000045
10 -10.000000 -5.600000 0.0 0.000045
1 -10.000000 -5.400000 0.0 0.000045
2 -10.000000 -5.400000 0.0 0.000045
3 -10.000000 -5.400000 0.0 0.000045
4 -10.000000 -5.400000 0.0 0.000045
5 -10.000000 -5.400000 0.0 0.000045
6 -10.000000 -5.400000 0.0 0.000045
7 -10.000000 -5.400000 0.0 0.000045
8 -10.000000 -5.400000 0.0 0.000045
9 -10.000000 -5.400000 0.0 0.000045
10 -10.000000 -5.400000 0.0 0.000045
1 -10.000000 -5.200000 0.0 0.000045
2 -10.000000 -5.200000 0.0 0.000045
3 -10.000000 -5.200000 0.0 0.000045
