i x0 x1 x2 result
1 -10.000000 -10.000000 0.0 4.53958e-05
2 -10.000000 -10.000000 0.0 4.53958e-05
3 -10.000000 -10.000000 0.0 4.53958e-05
4 -10.000000 -10.000000 0.0 4.53958e-05
5 -10.000000 -10.000000 0.0 4.53958e-05
6 -10.000000 -10.000000 0.0 4.53958e-05
7 -10.000000 -10.000000 0.0 4.53958e-05
8 -10.000000 -10.000000 0.0 4.53958e-05
9 -10.000000 -10.000000 0.0 4.53958e-05
10 -10.000000 -10.000000 0.0 4.53958e-05
1 -10.000000 -9.800000 0.0 4.53953e-05
2 -10.000000 -9.800000 0.0 4.53953e-05
3 -10.000000 -9.800000 0.0 4.53954e-05
4 -10.000000 -9.800000 0.0 4.53954e-05
5 -10.000000 -9.800000 0.0 4.53954e-05
6 -10.000000 -9.800000 0.0 4.53953e-05
7 -10.000000 -9.800000 0.0 4.53954e-05
8 -10.000000 -9.800000 0.0 4.53954e-05
9 -10.000000 -9.800000 0.0 4.53954e-05
10 -10.000000 -9.800000 0.0 4.53954e-05
1 -10.000000 -9.600000 0.0 4.53948e-05
2 -10.000000 -9.600000 0.0 4.53948e-05
3 -10.000000 -9.600000 0.0 4.53948e-05
4 -10.000000 -9.600000 0.0 4.53948e-05
5 -10.000000 -9.600000 0.0 4.53948e-05
6 -10.000000 -9.600000 0.0 4.53948e-05
7 -10.000000 -9.600000 0.0 4.53948e-05
8 -10.000000 -9.600000 0.0 4.53948e-05
9 -10.000000 -9.600000 0.0 4.53948e-05
10 -10.000000 -9.600000 0.0 4.53948e-05
1 -10.000000 -9.400000 0.0 4.53941e-05
2 -10.000000 -9.400000 0.0 4.53941e-05
3 -10.000000 -9.400000 0.0 4.53942e-05
4 -10.000000 -9.400000 0.0 4.53941e-05
5 -10.000000 -9.400000 0.0 4.53941e-05
6 -10.000000 -9.400000 0.0 4.53941e-05
7 -10.000000 -9.400000 0.0 4.53941e-05
8 -10.000000 -9.400000 0.0 4.53941e-05
9 -10.000000 -9.400000 0.0 4.53942e-05
10 -10.000000 -9.400000 0.0 4.53941e-05
1 -10.000000 -9.200000 0.0 4.53932e-05
2 -10.000000 -9.200000 0.0 4.53933e-05
3 -10.000000 -9.200000 0.0 4.53933e-05
4 -10.000000 -9.200000 0.0 4.53933e-05
5 -10.000000 -9.200000 0.0 4.53933e-05
6 -10.000000 -9.200000 0.0 4.53932e-05
7 -10.000000 -9.200000 0.0 4.53933e-05
8 -10.000000 -9.200000 0.0 4.53933e-05
9 -10.000000 -9.200000 0.0 4.53933e-05
10 -10.000000 -9.200000 0.0 4.53933e-05
1 -10.000000 -9.000000 0.0 4.53923e-05
2 -10.000000 -9.000000 0.0 4.53923e-05
3 -10.000000 -9.000000 0.0 4.53923e-05
4 -10.000000 -9.000000 0.0 4.53923e-05
5 -10.000000 -9.000000 0.0 4.53922e-05
6 -10.000000 -9.000000 0.0 4.53923e-05
7 -10.000000 -9.000000 0.0 4.53923e-05
8 -10.000000 -9.000000 0.0 4.53923e-05
9 -10.000000 -9.000000 0.0 4.53923e-05
10 -10.000000 -9.000000 0.0 4.53923e-05
1 -10.000000 -8.800000 0.0 4.5391e-05
2 -10.000000 -8.800000 0.0 4.5391e-05
3 -10.000000 -8.800000 0.0 4.5391e-05
4 -10.000000 -8.800000 0.0 4.5391e-05
5 -10.000000 -8.800000 0.0 4.5391e-05
6 -10.000000 -8.800000 0.0 4.5391e-05
7 -10.000000 -8.800000 0.0 4.5391e-05
8 -10.000000 -8.800000 0.0 4.5391e-05
9 -10.000000 -8.800000 0.0 4.5391e-05
10 -10.000000 -8.800000 0.0 4.5391e-05
1 -10.000000 -8.600000 0.0 4.53895e-05
2 -10.000000 -8.600000 0.0 4.53895e-05
3 -10.000000 -8.600000 0.0 4.53895e-05
4 -10.000000 -8.600000 0.0 4.53895e-05
5 -10.000000 -8.600000 0.0 4.53895e-05
6 -10.000000 -8.600000 0.0 4.53895e-05
7 -10.000000 -8.600000 0.0 4.53895e-05
8 -10.000000 -8.600000 0.0 4.53895e-05
9 -10.000000 -8.600000 0.0 4.53895e-05
10 -10.000000 -8.600000 0.0 4.53895e-05
1 -10.000000 -8.400000 0.0 4.53877e-05
