x0,x1,x2,mean,std,min,max,count,sig_digits
-10.0,-10.0,0.0,4.53958e-05,0.0,4.53958e-05,4.53958e-05,10,7.224719895935548
-10.0,-9.8,0.0,4.539537000000001e-05,4.5825756949658885e-11,4.53953e-05,4.53954e-05,10,5.995901912846231
-10.0,-9.6,0.0,4.5394799999999994e-05,6.776263578034403e-21,4.53948e-05,4.53948e-05,10,7.224719895935548
-10.0,-9.4,0.0,4.539412e-05,4.000000000008771e-11,4.53941e-05,4.53942e-05,10,6.054939610053817
-10.0,-9.2,0.0,4.5393279999999996e-05,4.000000000008771e-11,4.53932e-05,4.53933e-05,10,6.054931573534106
-10.0,-9.0,0.0,4.539229e-05,3.000000000006578e-11,4.53922e-05,4.53923e-05,10,6.179860838338966
-10.0,-8.8,0.0,4.5391e-05,0.0,4.5391e-05,4.5391e-05,10,7.224719895935548
-10.0,-8.6,0.0,4.53895e-05,0.0,4.53895e-05,4.53895e-05,10,7.224719895935548
-10.0,-8.4,0.0,4.538768e-05,4.000000000008771e-11,4.53876e-05,4.53877e-05,10,6.0548779929352285
-10.0,-8.2,0.0,4.538540000000001e-05,6.776263578034403e-21,4.53854e-05,4.53854e-05,10,7.224719895935548
-10.0,-8.0,0.0,4.538262e-05,4.000000000008771e-11,4.53826e-05,4.53827e-05,10,6.054829573351274
-10.0,-7.8,0.0,4.5379270000000006e-05,4.5825756949658885e-11,4.53792e-05,4.53793e-05,10,5.995747857898022
-10.0,-7.6,0.0,4.5375190000000005e-05,3.000000000006578e-11,4.53751e-05,4.53752e-05,10,6.179697201853115
-10.0,-7.4,0.0,4.53701e-05,0.0,4.53701e-05,4.53701e-05,10,7.224719895935548
-10.0,-7.2,0.0,4.5364e-05,0.0,4.5364e-05,4.5364e-05,10,7.224719895935548
-10.0,-7.0,0.0,4.535651e-05,3.000000000006578e-11,4.53565e-05,4.53566e-05,10,6.1795183752459515
-10.0,-6.8,0.0,4.534739999999999e-05,6.776263578034403e-21,4.53474e-05,4.53474e-05,10,7.224719895935548
-10.0,-6.6,0.0,4.53362e-05,0.0,4.53362e-05,4.53362e-05,10,7.224719895935548
-10.0,-6.4,0.0,4.532259e-05,3.000000000006578e-11,4.53225e-05,4.53226e-05,10,6.179193465327056
-10.0,-6.2,0.0,4.5305940000000006e-05,4.898979485577099e-11,4.53059e-05,4.5306e-05,10,5.966049524646232
-10.0,-6.0,0.0,4.528562e-05,4.000000000008771e-11,4.52856e-05,4.52857e-05,10,6.053900326664308
-10.0,-5.8,0.0,4.526082e-05,4.0000000000087705e-11,4.52608e-05,4.52609e-05,10,6.053662426567506
-10.0,-5.6,0.0,4.523062e-05,4.000000000008771e-11,4.52306e-05,4.52307e-05,10,6.053372549561671
-10.0,-5.4,0.0,4.51938e-05,0.0,4.51938e-05,4.51938e-05,10,7.224719895935548
-10.0,-5.2,0.0,4.5148810000000005e-05,3.000000000006578e-11,4.51488e-05,4.51489e-05,10,6.177525053256833
-10.0,-5.0,0.0,4.509401e-05,3.000000000006578e-11,4.5094e-05,4.50941e-05,10,6.1769976020860105
-10.0,-4.8,0.0,4.502732e-05,4.000000000008771e-11,4.50273e-05,4.50274e-05,10,6.051416107447289
-10.0,-4.6,0.0,4.49461e-05,0.0,4.49461e-05,4.49461e-05,10,7.224719895935548
-10.0,-4.4,0.0,4.484729999999999e-05,6.776263578034403e-21,4.48473e-05,4.48473e-05,10,7.224719895935548
