x0,x1,x2,mean,std,min,max,count,sig_digits
-10.0,-10.0,0.0,4.5e-05,0.0,4.5e-05,4.5e-05,10,7.224719895935548
-10.0,-9.8,0.0,4.5e-05,0.0,4.5e-05,4.5e-05,10,7.224719895935548
-10.0,-9.6,0.0,4.5e-05,0.0,4.5e-05,4.5e-05,10,7.224719895935548
-10.0,-9.4,0.0,4.5e-05,0.0,4.5e-05,4.5e-05,10,7.224719895935548
-10.0,-9.2,0.0,4.5e-05,0.0,4.5e-05,4.5e-05,10,7.224719895935548
-10.0,-9.0,0.0,4.5e-05,0.0,4.5e-05,4.5e-05,10,7.224719895935548
-10.0,-8.8,0.0,4.5e-05,0.0,4.5e-05,4.5e-05,10,7.224719895935548
-10.0,-8.6,0.0,4.5e-05,0.0,4.5e-05,4.5e-05,10,7.224719895935548
-10.0,-8.4,0.0,4.5e-05,0.0,4.5e-05,4.5e-05,10,7.224719895935548
-10.0,-8.2,0.0,4.5e-05,0.0,4.5e-05,4.5e-05,10,7.224719895935548
-10.0,-8.0,0.0,4.5e-05,0.0,4.5e-05,4.5e-05,10,7.224719895935548
-10.0,-7.8,0.0,4.5e-05,0.0,4.5e-05,4.5e-05,10,7.224719895935548
-10.0,-7.6,0.0,4.5e-05,0.0,4.5e-05,4.5e-05,10,7.224719895935548
-10.0,-7.4,0.0,4.5e-05,0.0,4.5e-05,4.5e-05,10,7.224719895935548
-10.0,-7.2,0.0,4.5e-05,0.0,4.5e-05,4.5e-05,10,7.224719895935548
-10.0,-7.0,0.0,4.5e-05,0.0,4.5e-05,4.5e-05,10,7.224719895935548
-10.0,-6.8,0.0,4.5e-05,0.0,4.5e-05,4.5e-05,10,7.224719895935548
-10.0,-6.6,0.0,4.5e-05,0.0,4.5e-05,4.5e-05,10,7.224719895935548
-10.0,-6.4,0.0,4.5e-05,0.0,4.5e-05,4.5e-05,10,7.224719895935548
-10.0,-6.2,0.0,4.5e-05,0.0,4.5e-05,4.5e-05,10,7.224719895935548
-10.0,-6.0,0.0,4.5e-05,0.0,4.5e-05,4.5e-05,10,7.224719895935548
-10.0,-5.8,0.0,4.5e-05,0.0,4.5e-05,4.5e-05,10,7.224719895935548
-10.0,-5.6,0.0,4.5e-05,0.0,4.5e-05,4.5e-05,10,7.224719895935548
-10.0,-5.4,0.0,4.5e-05,0.0,4.5e-05,4.5e-05,10,7.224719895935548
-10.0,-5.2,0.0,4.5e-05,0.0,4.5e-05,4.5e-05,10,7.224719895935548
-10.0,-5.0,0.0,4.5e-05,0.0,4.5e-05,4.5e-05,10,7.224719895935548
-10.0,-4.8,0.0,4.5e-05,0.0,4.5e-05,4.5e-05,10,7.224719895935548
-10.0,-4.6,0.0,4.5e-05,0.0,4.5e-05,4.5e-05,10,7.224719895935548
-10.0,-4.4,0.0,4.5e-05,0.0,4.5e-05,4.5e-05,10,7.224719895935548
-10.0,-4.2,0.0,4.5e-05,0.0,4.5e-05,4.5e-05,10,7.224719895935548
-10.0,-4.0,0.0,4.5e-05,0.0,4.5e-05,4.5e-05,10,7.224719895935548
-10.0,-3.8,0.0,4.4e-05,0.0,4.4e-05,4.4e-05,10,7.224719895935548
-10.0,-3.6,0.0,4.4e-05,0.0,4.4e-05,4.4e-05,10,7.224719895935548
-10.0,-3.4,0.0,4.4e-05,0.0,4.4e-05,4.4e-05,10,7.224719895935548
-10.0,-3.2,0.0,4.4e-05,0.0,4.4e-05,4.4e-05,10,7.224719895935548
-10.0,-3.0,0.0,4.3e-05,0.0,4.3e-05,4.3e-05,10,7.224719895935548
-10.0,-2.8,0.0,4.3e-05,0.0,4.3e-05,4.3e-05,10,7.224719895935548
-10.0,-2.6,0.0,4.2e-05,0.0,4.2e-05,4.2e-05,10,7.224719895935548
-10.0,-2.4,0.0,4.2e-05,0.0,4.2e-05,4.2e-05,10,7.224719895935548
-10.0,-2.2,0.0,4.100000000000001e-05,6.776263578034403e-21,4.1e-05,4.1e-05,10,7.224719895935548
-10.0,-2.0,0.0,4e-05,0.0,4e-05,4e-05,10,7.224719895935548
-10.0,-1.8,0.0,3.899999999999999e-05,6.776263578034403e-21,3.9e-05,3.9e-05,10,7.224719895935548
-10.0,-1.6,0.0,3.8e-05,0.0,3.8e-05,3.8e-05,10,7.224719895935548
-10.0,-1.4,0.0,3.6e-05,0.0,3.6e-05,3.6e-05,10,7.224719895935548
-10.0,-1.2,0.0,3.5e-05,0.0,3.5e-05,3.5e-05,10,7.224719895935548
-10.0,-1.0,0.0,3.3e-05,0.0,3.3e-05,3.3e-05,10,7.224719895935548
-10.0,-0.8,0.0,3.1e-05,0.0,3.1e-05,3.1e-05,10,7.224719895935548
-10.0,-0.6,0.0,2.9e-05,0.0,2.9e-05,2.9e-05,10,7.224719895935548
-10.0,-0.4,0.0,2.7e-05,0.0,2.7e-05,2.7e-05,10,7.224719895935548
-10.0,-0.2,0.0,2.5e-05,0.0,2.5e-05,2.5e-05,10,7.224719895935548
-10.0,-0.0,0.0,2.2999999999999997e-05,3.3881317890172014e-21,2.3e-05,2.3e-05,10,7.224719895935548
